Temp,m18.0,m26.0,m27.0,m28.0,m29.0,m31.0,m39.0,m41.0,m44.0,m45.0,m56.0,m57.0,m70.0
176.8481,7.421564475028614e-05,0.001072096887000259,0.00397185476149871,0.001352354877982876,0.0068429079406284845,0.002652790612992315,0.004319937798512578,0.0025188875957947937,0.0008456280782957902,0.00023951813104703114,3.375402498536191e-05,0.0073251832385215765,0.00010481386772152492
176.8945,7.401262525388809e-05,0.001069164128404399,0.003960989613642637,0.0013486554638336985,0.006824188926212064,0.002645533811328578,0.004308120457313484,0.0025119970905259628,0.0008433148330605933,0.0002388629208079099,3.366168966742467e-05,0.007305144943131003,0.00010452714571416443
176.8788,7.408131935072953e-05,0.0010701564626706688,0.003964665967550828,0.001349907205259172,0.006830522730658987,0.0026479892377535875,0.004312118997331273,0.002514328576144938,0.0008440975475043976,0.00023908461910002594,3.369293243664045e-05,0.007311925142217886,0.00010462416156579269
176.7941,7.44519174400597e-05,0.0010755100112281994,0.003984499545641553,0.001356660230656487,0.006864693000509662,0.002661236028721662,0.004333690738701178,0.0025269067183059327,0.0008483202171470965,0.000240280660204629,3.386148419158197e-05,0.007348503668501981,0.00010514755281629788
176.7974,7.44374785534622e-05,0.0010753014314142666,0.003983726808832811,0.0013563971257708734,0.006863361691294681,0.002660719919982639,0.004332850281245196,0.0025264166608191334,0.0008481556975506253,0.00024023406120055288,3.385491724009065e-05,0.007347078531114269,0.00010512716094939479
176.8505,7.420514374185155e-05,0.0010719451925901256,0.003971292771092351,0.0013521635289751562,0.006841939715744858,0.002652415261182114,0.004319326556726407,0.0025185311903498475,0.0008455084276801743,0.00023948424086224837,3.374924902064093e-05,0.007324146774966872,0.00010479903727286807
176.9009,7.398462256472957e-05,0.0010687596099773816,0.003959490972559033,0.0013481451998131194,0.006821606993189094,0.0026445328731680567,0.0043064904792170485,0.0025110466760061186,0.0008429957647522885,0.00023877254698182374,3.364895376150222e-05,0.007302381040318494,0.00010448759785108001
176.9665,7.369759500085656e-05,0.001064613296100477,0.003944129901452175,0.0013429149936022152,0.0067951421797038175,0.002634273257022777,0.004289783203728678,0.002501304927177774,0.0008397253145921836,0.00023784621526444575,3.351841072579788e-05,0.007274051036490452,0.00010408223225446701
176.9055,7.396449563189715e-05,0.0010684688623579662,0.003958413824280205,0.0013477784475483328,0.006819751228828858,0.002643813448865191,0.0043053189324602495,0.002510363565569989,0.0008427664344056973,0.00023870759079432509,3.363979982912057e-05,0.007300394485172028,0.00010445917282448841
176.8099,7.438278580119987e-05,0.0010745113563615037,0.003980799775466417,0.001355400516355687,0.00685831885335923,0.002658764962637885,0.004329666730275616,0.002524560382460076,0.0008475325172609718,0.00024005754982147953,3.383004242383604e-05,0.007341680283433626,0.00010504991902930855
176.8533,7.419289256534491e-05,0.0010717682157783085,0.003970637115618285,0.0013519402884661566,0.006840810120047328,0.0026519773507368933,0.004318613441309228,0.0025181153839974224,0.0008453688352952932,0.0002394447023133363,3.3743677061799955e-05,0.00732293756748642,0.00010478173508276892
176.9335,7.384198386682923e-05,0.001066699094239773,0.003951857269539464,0.0013455460424583099,0.006808455271853421,0.002639434344412932,0.004298187778288375,0.0025062055020456902,0.0008413705105568701,0.0002383122053051998,3.358408024071011e-05,0.007288302410367361,0.00010428615092349484
176.881,7.40716934263314e-05,0.0010700174094613831,0.003964150809678344,0.0013497318020021,0.006829635191182351,0.0026476451652609123,0.00431155869236063,0.002514001871153745,0.000843987867773419,0.00023905355309730917,3.3688554468979655e-05,0.007310975050626097,0.00010461056698785757
176.8105,7.438016054909139e-05,0.0010744734327589724,0.0039806592778648345,0.0013553526791037598,0.0068580767971383365,0.00265867112468534,0.004329513919829082,0.002524471281098844,0.0008475026046070695,0.0002400490772752843,3.382884843265586e-05,0.007341421167544965,0.00010504621141714454
176.8207,7.433553126324525e-05,0.0010738287315159168,0.003978270818637853,0.0013545394458209662,0.006853961841383002,0.0026570758794920183,0.004326916142237901,0.002522956557957851,0.0008469940894907115,0.00023990504398996022,3.380855058259206e-05,0.007337016197437553,0.00010498318201035408
176.7429,7.467593895332634e-05,0.0010787461586443186,0.003996488674310314,0.0013607423428210934,0.006885348464693283,0.0026692435340057797,0.004346730563472583,0.002534510034464637,0.0008508727636135186,0.00024100365081331394,3.396337143896092e-05,0.007370614891001908,0.00010546393572097129
176.7739,7.454030092771564e-05,0.0010767867725134646,0.003989229631561647,0.0013582707514714285,0.006872842226613352,0.002664395239790785,0.004338835357068019,0.00252990646413417,0.0008493272764951766,0.00024056590259321158,3.390168189464943e-05,0.007357227236753901,0.00010527237575915725
176.8874,7.404369073717303e-05,0.0010696128910343676,0.003962652168594746,0.0013492215379815235,0.006827053258159395,0.0026466442271003963,0.004309928714264202,0.0025130514566339057,0.0008436687994651159,0.0002389631792712234,3.367581856305727e-05,0.007308211147813603,0.00010457101912477334
176.8942,7.401393787994219e-05,0.0010691830902056626,0.003961059862443421,0.0013486793824596596,0.006824309954322497,0.002645580730304845,0.004308196862536743,0.0025120416412065735,0.0008433297893875428,0.00023886715708100708,3.3662286663014693e-05,0.00730527450107532,0.00010452899952024623
176.8326,7.428346376309128e-05,0.001073076580065683,0.003975484282873032,0.0013535906736577045,0.006849161059668431,0.002655214760099804,0.004323885401714848,0.00252118938096002,0.0008464008218549587,0.00023973700515708162,3.378486975751757e-05,0.007331877065645559,0.00010490964770243165
176.8189,7.434340701957091e-05,0.001073942502323513,0.003978692311442608,0.001354682957576751,0.006854688010045696,0.0026573573933496588,0.004327374573577514,0.002523223862041551,0.0008470838274524203,0.00023993046162854638,3.381213255613267e-05,0.007337793545103554,0.00010499430484684633
176.8509,7.42033935737792e-05,0.0010719199101884378,0.003971199106024629,0.0013521316374738711,0.006841778344930928,0.0026523527025470836,0.004319224683095383,0.002518471789442359,0.0008454884859109058,0.00023947859249811817,3.374845302652081e-05,0.0073239740310410955,0.00010479656553142538
176.8443,7.423227134697374e-05,0.001072337069816297,0.003972744579642086,0.00135265784724509,0.006844440963360849,0.0026533849200251146,0.004320905598007322,0.0025194519044159426,0.0008458175251038431,0.00023957179050626898,3.3761586929503254e-05,0.007326824305816477,0.00010483734926523094
176.9281,7.386561113580663e-05,0.0010670404066625676,0.0039531217479537506,0.0013459765777256716,0.006810633777841541,0.0026402788859858682,0.004299563072307237,0.0025070074142968055,0.0008416397244420012,0.00023838845822095973,3.359482616133213e-05,0.007290634453365405,0.0001043195194329722
176.9268,7.3871299182042e-05,0.0010671225744680562,0.00395342615942386,0.0013460802251048524,0.006811158232986836,0.0026404822015497252,0.004299894161608078,0.00250720046724615,0.0008417045351921262,0.00023840681540438362,3.359741314222265e-05,0.0072911958711242,0.00010432755259266128
176.8664,7.413557456097392e-05,0.0010709402171230119,0.003967569584650299,0.00135089584179904,0.006835525225890969,0.002649928555439589,0.004315277079893105,0.002516170004277128,0.0008447157423517356,0.0002392597183880672,3.371760825436509e-05,0.007317280203917099,0.00010470078555051846
