Temp,Crotyl Alcohol Concentration Relative to CO
176.8481,0.032843559067925104
176.8945,0.03275371436140365
176.8788,0.03278411440218779
176.7941,0.03294811971775609
176.7974,0.03294172990026633
176.8505,0.03283891192793253
176.9009,0.03274132198809028
176.9665,0.032614300161628966
176.9055,0.0327324149697714
176.8099,0.03291752604613881
176.8533,0.03283349026460802
176.9335,0.03267819833652565
176.881,0.03277985452386137
176.8105,0.03291636426114073
176.8207,0.03289661391617266
176.7429,0.03304725870426245
176.7739,0.03298723314602616
176.8874,0.03276746215054806
176.8942,0.03275429525390263
176.8326,0.032873571847043155
176.8189,0.03290009927116696
176.8509,0.032838137404600475
176.8443,0.03285091703957981
176.9281,0.03268865440150876
176.9268,0.032691171602338066
176.8664,0.03280812462548236
176.914,0.03271595634896468
176.883,0.03277598190720091
176.9234,0.032697755050660776
176.8343,0.03287028012288186
176.8869,0.03276843030471319
176.8666,0.03280773736381627
176.8004,0.0329359209752758
176.889,0.03276436405721972
177.0114,0.03252735991760285
176.8458,0.03284801257708454
176.9231,0.032698335943159754
176.9848,0.03257886571918622
177.0193,0.03251206308179427
177.032,0.032487471966000596
176.9611,0.032624756226612074
176.8494,0.032841041867095806
176.9185,0.032707242961478755
176.8734,0.03279457046717091
176.9646,0.03261797914745635
176.9394,0.03266677411737747
176.8496,0.03284065460542972
176.9133,0.03271731176479578
176.7969,0.03294269805443146
176.792,0.03295218596524944
176.7845,0.032966708277725965
176.8007,0.032935340082776696
176.9141,0.03271576271813167
176.8142,0.032909199920318974
176.7997,0.03293727639110689
176.7839,0.03296787006272411
176.8388,0.03286156673539593
176.9101,0.032723507951452464
177.0272,0.032496766245985624
177.0201,0.032510514035130035
176.969,0.0326094593908035
177.0026,0.03254439943090861
176.9059,0.03273164044643929
176.8848,0.03277249655220654
176.8855,0.03277114113637544
176.9602,0.03262649890410926
177.023,0.03250489874097245
176.9497,0.03264683014157638
176.8147,0.032908231766153845
176.8542,0.032831747587110834
176.9009,0.03274132198809028
176.9337,0.03267781107485969
176.8691,0.03280289659299081
176.9353,0.03267471298153128
176.9734,0.03260093963415059
176.9555,0.032635599553261216
176.8202,0.03289758207033772
176.9251,0.03269446332649942
176.8746,0.03279224689717468
177.0054,0.032538977767584035
177.0023,0.03254498032340771
177.0163,0.03251787200678486
177.1247,0.03231360037735726
177.248,0.03211446115167592
177.2921,0.0320432361731475
177.5623,0.03160684186025942
177.7207,0.031581917779668324
177.9972,0.03124397140638771
178.29,0.03110130069841964
178.6543,0.03092275523483589
179.0592,0.030210348704659617
179.3064,0.02994178023467518
179.7101,0.030467383063867027
180.1774,0.028187007009903696
180.5681,0.02765136209551129
180.8962,0.030044485963195446
181.384,0.027904569473007613
181.8506,0.03029000461538958
182.297,0.030114239269673975
182.8438,0.028333100309341986
183.2631,0.030935342098779375
183.6243,0.02657850299284822
184.0933,0.026115778998550315
184.5898,0.028407433766711624
185.0357,0.023712225513272477
185.4777,0.028196620671092305
185.9069,0.02690071672262279
186.4914,0.02430176794836585
187.0203,0.02906832990744199
187.6229,0.027170162587423344
188.1595,0.026713593018899858
188.6697,0.028207595781509383
189.3571,0.025513717720240168
189.9038,0.024987914140657572
190.5653,0.02180320454327147
191.2235,0.02092204846624061
191.9041,0.020321096337092164
192.46,0.020397801611054284
193.0445,0.023334985324294205
193.7611,0.024605069583965963
194.4817,0.023031069029176284
195.1538,0.023409363768290208
195.7753,0.023223437013910657
196.417,0.024214397369334922
197.0638,0.02346793566121802
197.6513,0.02717545526674008
198.3369,0.023114664335007015
199.1706,0.031963879815387466
199.7659,0.02602894664083531
