Temp,Crotyl AlcoholConcentration(bar)
176.8481,0.00040990272185961014
176.8945,0.00040878141860280855
176.8788,0.00040916082509271696
176.7941,0.0004112076868567498
176.7974,0.00041112793899581227
176.8505,0.00040984472341529173
176.9009,0.0004086267560846281
176.9665,0.00040704146527328845
176.9055,0.00040851559239968733
176.8099,0.0004108258637649933
176.8533,0.00040977705856358893
176.9335,0.00040783894388265123
176.881,0.0004091076598520931
176.8105,0.0004108113641539145
176.8207,0.00041056487076556586
176.7429,0.0004124449870021851
176.7739,0.0004116958404297533
176.8874,0.00040895299733391345
176.8942,0.00040878866840834716
176.8326,0.0004102772951458249
176.8189,0.00041060836959880314
176.8509,0.00040983505700790577
176.8443,0.00040999455272977835
176.9281,0.0004079694403823654
176.9268,0.00040800085620637104
176.8664,0.00040946048372169025
176.914,0.00040831018124273024
176.883,0.0004090593278151613
176.9234,0.0004080830206691542
176.8343,0.0004102362129144341
176.8869,0.00040896508034314654
176.8666,0.00040945565051799654
176.8004,0.0004110554409404166
176.889,0.0004089143317043683
177.0114,0.00040595641104418547
176.8458,0.00040995830370208055
176.9231,0.00040809027047469283
176.9848,0.0004065992271353686
177.0193,0.000405765499498308
177.032,0.0004054585910637945
176.9611,0.0004071719617730026
176.8494,0.00040987130603560443
176.9185,0.0004082014341596352
176.8734,0.00040929132159243107
176.9646,0.00040708738070837296
176.9394,0.0004076963643737047
176.8496,0.0004098664728319107
176.9133,0.0004083270974556555
176.7969,0.0004111400220050455
176.792,0.0004112584354955265
176.7845,0.000411439680634018
176.8007,0.00041104819113487644
176.9141,0.0004083077646408838
176.8142,0.0004107219498855919
176.7997,0.0004110723571533419
176.7839,0.00041145418024509766
176.8388,0.000410127465831339
176.9101,0.0004084044287147458
177.0272,0.00040557458795242976
177.0201,0.00040574616668353467
176.969,0.0004069810502271251
177.0026,0.00040616907200668193
176.9059,0.0004085059259923007
176.8848,0.00040901582898192324
176.8855,0.00040899891276899796
176.9602,0.0004071937111896216
177.023,0.0004056760852299847
176.9497,0.0004074474543835097
176.8147,0.0004107098668763588
176.8542,0.00040975530914696994
176.9009,0.0004086267560846281
176.9337,0.00040783411067895904
176.8691,0.00040939523547183323
176.9353,0.00040779544504941314
176.9734,0.00040687471974587645
176.9555,0.0004073072914764096
176.8202,0.0004105769537747982
176.9251,0.0004080419384377626
176.8746,0.0004092623223702727
177.0054,0.0004061014071549784
177.0023,0.0004061763218122221
177.0163,0.0004058379975537045
177.1247,0.0004032885936743045
177.248,0.0004008032445540408
177.2921,0.0003999143240657706
177.5623,0.0003944679223439921
177.7207,0.00039415685835567684
177.9972,0.0003899391321962244
178.29,0.00038815853614678885
178.6543,0.0003859302066485361
179.0592,0.0003770390455174942
179.3064,0.00037368718749794717
179.7101,0.0003802469525300278
180.1774,0.00035178681063584733
180.5681,0.00034510171576212736
180.8962,0.0003749690022240542
181.384,0.0003482618602828848
181.8506,0.00037803318791700976
182.297,0.0003758395555683225
182.8438,0.00035361012220087466
183.2631,0.0003860872964992262
183.6243,0.00033171194075498064
184.0933,0.0003259369325002359
184.5898,0.00035453783793466695
185.0357,0.0002959394796141782
185.4777,0.0003519067935487861
185.9069,0.000335733316288064
186.4914,0.000303297240333616
187.0203,0.00036278612571589134
187.6229,0.0003390961245984284
188.1595,0.0003333979264077575
188.6697,0.00035204376797422416
189.3571,0.00031842293086005994
189.9038,0.00031186066037077804
190.5653,0.0002721140199533619
191.2235,0.00026111678686997113
191.9041,0.0002536166279214288
192.46,0.0002545739450170893
193.0445,0.0002912313485636661
193.7611,0.0003070825842337652
194.4817,0.0002874383334300539
195.1538,0.0002921596257512446
195.7753,0.00028983917434921835
196.417,0.0003022068153257428
197.0638,0.00029289062991208866
197.6513,0.00033916217967039467
198.3369,0.0002884816412921475
199.1706,0.0003989239202250835
199.7659,0.00032485322474191236
