Temp,m2.0,m26.0,m27.0,m28.0,m29.0,m44.0,m45.0
176848.09999999998,0.0,-115683.60355793282,-134145.93321767493,-915497.1319075496,-10705.424253422923,-1706818.01357987,-20306.680656438046
176894.5,0.0,-115683.60355793282,-134145.93321767493,-915497.1319075496,-10705.424253422923,-1706818.01357987,-20306.680656438046
176878.80000000002,0.0,-115683.60355793282,-134145.93321767493,-915497.1319075496,-10705.424253422923,-1706818.01357987,-20306.680656438046
176794.09999999998,0.0,-115683.60355793282,-134145.93321767493,-915497.1319075496,-10705.424253422923,-1706818.01357987,-20306.680656438046
176797.40000000002,0.0,-115683.60355793282,-134145.93321767493,-915497.1319075496,-10705.424253422923,-1706818.01357987,-20306.680656438046
176850.5,0.0,-115683.60355793282,-134145.93321767493,-915497.1319075496,-10705.424253422923,-1706818.01357987,-20306.680656438046
176900.9,0.0,-115683.60355793282,-134145.93321767493,-915497.1319075496,-10705.424253422923,-1706818.01357987,-20306.680656438046
176966.5,0.0,-115683.60355793282,-134145.93321767493,-915497.1319075496,-10705.424253422923,-1706818.01357987,-20306.680656438046
176905.5,0.0,-115683.60355793282,-134145.93321767493,-915497.1319075496,-10705.424253422923,-1706818.01357987,-20306.680656438046
176809.9,0.0,-115683.60355793282,-134145.93321767493,-915497.1319075496,-10705.424253422923,-1706818.01357987,-20306.680656438046
176853.3,0.0,-115683.60355793282,-134145.93321767493,-915497.1319075496,-10705.424253422923,-1706818.01357987,-20306.680656438046
176933.5,0.0,-115683.60355793282,-134145.93321767493,-915497.1319075496,-10705.424253422923,-1706818.01357987,-20306.680656438046
176881.0,0.0,-115683.60355793282,-134145.93321767493,-915497.1319075496,-10705.424253422923,-1706818.01357987,-20306.680656438046
176810.5,0.0,-115683.60355793282,-134145.93321767493,-915497.1319075496,-10705.424253422923,-1706818.01357987,-20306.680656438046
176820.69999999998,0.0,-115683.60355793282,-134145.93321767493,-915497.1319075496,-10705.424253422923,-1706818.01357987,-20306.680656438046
176742.9,0.0,-115683.60355793282,-134145.93321767493,-915497.1319075496,-10705.424253422923,-1706818.01357987,-20306.680656438046
176773.9,0.0,-115683.60355793282,-134145.93321767493,-915497.1319075496,-10705.424253422923,-1706818.01357987,-20306.680656438046
176887.40000000002,0.0,-115683.60355793282,-134145.93321767493,-915497.1319075496,-10705.424253422923,-1706818.01357987,-20306.680656438046
176894.2,0.0,-115683.60355793282,-134145.93321767493,-915497.1319075496,-10705.424253422923,-1706818.01357987,-20306.680656438046
176832.6,0.0,-115683.60355793282,-134145.93321767493,-915497.1319075496,-10705.424253422923,-1706818.01357987,-20306.680656438046
176818.90000000002,0.0,-115683.60355793282,-134145.93321767493,-915497.1319075496,-10705.424253422923,-1706818.01357987,-20306.680656438046
176850.9,0.0,-115683.60355793282,-134145.93321767493,-915497.1319075496,-10705.424253422923,-1706818.01357987,-20306.680656438046
176844.30000000002,0.0,-115683.60355793282,-134145.93321767493,-915497.1319075496,-10705.424253422923,-1706818.01357987,-20306.680656438046
176928.1,0.0,-115683.60355793282,-134145.93321767493,-915497.1319075496,-10705.424253422923,-1706818.01357987,-20306.680656438046
176926.8,0.0,-115683.60355793282,-134145.93321767493,-915497.1319075496,-10705.424253422923,-1706818.01357987,-20306.680656438046
176866.4,0.0,-115683.60355793282,-134145.93321767493,-915497.1319075496,-10705.424253422923,-1706818.01357987,-20306.680656438046
176914.0,0.0,-115683.60355793282,-134145.93321767493,-915497.1319075496,-10705.424253422923,-1706818.01357987,-20306.680656438046
176883.0,0.0,-115683.60355793282,-134145.93321767493,-915497.1319075496,-10705.424253422923,-1706818.01357987,-20306.680656438046
