Source:,NIST, NIST, NIST, NIST, NIST, NIST, NIST, NIST
2.500000000000000000e+01,2.020202020202020332e+00,5.000500050005000752e+00,9.000900090009000820e-01,2.500250025002500376e+00,2.390239023902390514e+00,1.290129012901290118e+00,1.000100010001000184e-01,2.460246024602460224e+00
2.600000000000000000e+01,1.087108710871087247e+01,1.800180018001800164e+01,1.131113111311131192e+01,1.541154115411541170e+01,5.490549054905490500e+00,4.960496049604961044e+00,3.090309030903090282e+00,9.850985098509850602e+00
2.700000000000000000e+01,4.090409040904090432e+01,4.900490049004901039e+01,3.513351335133513231e+01,4.944494449444944451e+01,3.590359035903590623e+00,7.070707070707070940e+00,1.939193919391939147e+01,2.241224122412241471e+01
2.800000000000000000e+01,1.414141414141414188e+01,0.000000000000000000e+00,3.243324332433243740e+01,3.413341334133413341e+01,3.290329032903290596e+00,1.210121012101210258e+00,5.090509050905090760e+00,3.450345034503450314e+00
2.900000000000000000e+01,7.263726372637263751e+01,3.900390039003900711e+01,1.982198219821982121e+01,8.000800080008001469e-01,1.000000000000000000e+02,3.620362036203620626e+00,4.269426942694269655e+01,2.985298529852985538e+01
3.000000000000000000e+01,3.720372037203720339e+00,2.000200020002000478e+00,7.000700070007001008e-01,0.000000000000000000e+00,1.190119011901190182e+00,0.000000000000000000e+00,1.290129012901290118e+00,8.120812081208121924e+00
3.100000000000000000e+01,2.899289928992899590e+01,2.000200020002000478e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000300030003000273e-01,4.500450045004500410e-01,1.000000000000000000e+02,1.000000000000000000e+02
3.200000000000000000e+01,1.260126012601260115e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.090109010901090247e+00,0.000000000000000000e+00
3.300000000000000000e+01,0.000000000000000000e+00,1.000100010001000239e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000200020002000367e-01,3.100310031003100653e-01
3.400000000000000000e+01,2.600260026002600422e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.600000000000000000e+01,1.080108010801080098e+00,4.000400040004000957e+00,1.000100010001000184e-01,9.000900090009000820e-01,0.000000000000000000e+00,7.000700070007001008e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.700000000000000000e+01,6.810681068106810621e+00,1.800180018001800164e+01,2.300230023002300506e+00,4.400440044004400697e+00,0.000000000000000000e+00,2.510251025102510525e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.800000000000000000e+01,1.208120812081208229e+01,2.900290029002900383e+01,4.200420042004200383e+00,5.810581058105810826e+00,0.000000000000000000e+00,2.810281028102810552e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.900000000000000000e+01,5.234523452345234773e+01,9.700970097009701476e+01,3.593359335933593712e+01,1.000000000000000000e+02,0.000000000000000000e+00,4.630463046304631014e+00,2.000200020002000367e-01,0.000000000000000000e+00
4.000000000000000000e+01,7.250725072507250957e+00,2.700270027002700246e+01,6.410641064106410880e+00,3.500350035003500615e+00,1.090109010901090247e+00,1.280128012801280191e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.100000000000000000e+01,3.119311931193119491e+01,1.000000000000000000e+02,1.000000000000000000e+02,2.000200020002000367e-01,5.090509050905090760e+00,2.780278027802780549e+00,6.090609060906090555e+00,1.370137013701370199e+00
4.200000000000000000e+01,8.130813081308131629e+00,3.000300030003000273e+01,3.400340034003400458e+00,0.000000000000000000e+00,1.279127912791279265e+01,9.610961096109610580e+00,1.190119011901190182e+00,4.740474047404740432e+00
4.300000000000000000e+01,4.112411241124112848e+01,4.000400040004000957e+00,1.000100010001000184e-01,0.000000000000000000e+00,4.749474947494749699e+01,1.000000000000000000e+02,8.290829082908290459e+00,1.144114411441144163e+01
4.400000000000000000e+01,1.078107810781078157e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.259825982598260907e+01,2.460246024602460224e+00,1.990199019901990329e+00,7.100710071007101387e-01
4.500000000000000000e+01,3.080308030803080577e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.790279027902790254e+00,0.000000000000000000e+00,4.459445944594459377e+01,5.149514951495149973e+01
4.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.090109010901090247e+00,2.163216321632163286e+01
4.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000300030003000273e-01,7.300730073007301035e-01
4.800000000000000000e+01,4.600460046004600789e-01,1.000100010001000239e+00,2.000200020002000367e-01,1.500150015001500137e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.900000000000000000e+01,2.280228022802280208e+00,4.000400040004000957e+00,1.500150015001500137e+00,8.110811081108110443e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+01,6.700670067006701203e+00,5.000500050005000752e+00,6.210621062106210566e+00,2.682268226822682422e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.100000000000000000e+01,5.980598059805981137e+00,4.000400040004000957e+00,6.010601060106011140e+00,2.532253225322532231e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.200000000000000000e+01,2.130213021302130194e+00,2.000200020002000478e+00,2.000200020002000478e+00,1.141114111411141252e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.300000000000000000e+01,1.350135013501350123e+01,3.000300030003000273e+00,8.110811081108110443e+00,7.086708670867086823e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.400000000000000000e+01,9.130913091309130536e+00,1.000100010001000239e+00,3.600360036003600328e+00,9.519951995199519956e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000000e+01,8.700870087008700793e+00,5.000500050005000752e+00,2.202220222022202378e+01,4.300430043004300984e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.600000000000000000e+01,4.600460046004600789e-01,0.000000000000000000e+00,4.784478447844784910e+01,1.000100010001000184e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.700000000000000000e+01,1.000000000000000000e+02,0.000000000000000000e+00,2.100210021002100191e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.700470047004700613e-01,3.000300030003000273e-01,0.000000000000000000e+00
5.800000000000000000e+01,3.240324032403240295e+00,0.000000000000000000e+00,1.000100010001000184e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.484248424842484226e+01,2.000200020002000367e-01,0.000000000000000000e+00
5.900000000000000000e+01,3.400340034003400680e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.300930093009300847e-01,6.709670967096710115e+01,0.000000000000000000e+00
6.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.190219021902190200e+00,0.000000000000000000e+00
6.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000100010001000184e-01,0.000000000000000000e+00
6.600000000000000000e+01,0.000000000000000000e+00,1.000100010001000239e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.700000000000000000e+01,0.000000000000000000e+00,1.000100010001000239e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.800000000000000000e+01,3.200320032003200477e-01,5.000500050005000752e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.900000000000000000e+01,1.810181018101810313e+00,6.500650065006500711e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+01,1.380138013801380126e+00,8.200820082008200984e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.100000000000000000e+01,6.960696069606960634e+00,8.000800080008001913e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.200000000000000000e+01,2.559255925592559322e+01,1.000100010001000239e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000100010001000184e-01,0.000000000000000000e+00
7.300000000000000000e+01,1.100110011001100174e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.690469046904691020e+00,0.000000000000000000e+00
7.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.399439943994399727e+01,0.000000000000000000e+00
7.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.090209020902090487e+00,0.000000000000000000e+00
