Source:,NIST, NIST, NIST, NIST, NIST, NIST, NIST, NIST
Molecules,2buten1ol(crotyl alcohol), 2butenalE(crotonaldehyde), 2buteneE, 13butadiene, acetaldehyde, acetone, diethylether, ethanol
Electron Numbers,40, 38, 32, 30, 24, 32, 42, 26
ionizationEfficiencies,2.1142857142857143, 2.0285714285714285, 1.7714285714285714, 1.685714285714286, 1.4285714285714284, 1.7714285714285714, 2.2, 1.5142857142857142
ionizationEfficienciesSources,MadixAndKo, MadixAndKo, MadixAndKo, MadixAndKo, MadixAndKo, MadixAndKo, MadixAndKo, MadixAndKo
Molecular Mass,72.11, 70.09, 56.1063, 54.09, 44.05, 58.08, 74.12, 46.07
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.600160016001600294e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000200020002000367e-01,1.000100010001000184e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000000e+01,2.700270027002700246e-01,0.000000000000000000e+00,2.000200020002000367e-01,4.000400040004000735e-01,9.000900090009000820e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.000200020002000367e-01
1.300000000000000000e+01,5.400540054005400492e-01,0.000000000000000000e+00,2.000200020002000367e-01,3.000300030003000273e-01,2.990299029902990569e+00,8.900890089008901551e-01,1.000100010001000184e-01,1.390139013901390275e+00
1.400000000000000000e+01,2.260226022602260354e+00,0.000000000000000000e+00,8.000800080008001469e-01,5.000500050005001196e-01,1.089108910891089188e+01,4.550455045504550711e+00,7.000700070007001008e-01,1.450145014501450280e+00
1.500000000000000000e+01,6.040604060406041143e+00,0.000000000000000000e+00,3.800380038003800642e+00,3.000300030003000273e-01,3.649364936493649481e+01,1.201120112011201257e+01,3.190319031903190439e+00,6.640664066406641197e+00
1.600000000000000000e+01,5.400540054005400492e-01,0.000000000000000000e+00,1.000100010001000184e-01,1.000100010001000184e-01,5.690569056905690815e+00,8.500850085008501145e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+01,6.100610061006100926e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000300030003000273e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.000700070007001008e-01
1.800000000000000000e+01,6.600660066006600601e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.090109010901090247e+00,0.000000000000000000e+00,4.000400040004000735e-01,5.500550055005500871e-01
1.900000000000000000e+01,7.000700070007001008e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000100010001000184e-01,1.000100010001000184e-01,0.000000000000000000e+00,9.900990099009902012e-01,2.790279027902790254e+00
2.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000100010001000184e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.400000000000000000e+01,3.000300030003000273e-01,0.000000000000000000e+00,1.000100010001000184e-01,2.000200020002000367e-01,7.000700070007001008e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.100610061006100926e-01
