Temp,m26.0,m27.0,m28.0,m29.0,m41.0,m44.0
176.8481,0.04068243858110236,0.02942823127268526,0.23204198379482963,0.38017168539480606,0.02075944996755317,0.3801336644241696
176.8945,0.04116909058807225,0.029780258051558803,0.23481771949439711,0.3847193801776957,0.021007778935595744,0.38468090439209945
176.8788,0.041004426008128134,0.0296611455423282,0.2338785158201925,0.38318061276193754,0.02092375383218501,0.3831422908684721
176.7941,0.04011607633161071,0.029018544935202516,0.22881160173067305,0.37487910956988363,0.020470446427158364,0.3748416179097607
176.7974,0.04015068735796876,0.029043581322493295,0.2290090139679284,0.37520254475918663,0.020488107754627054,0.3751650207523101
176.8505,0.04070761023663551,0.029446439554351292,0.2321855563310154,0.3804069109870265,0.020772294569348586,0.3803688664914784
176.9009,0.041236215002827335,0.029828813469334914,0.23520057959089274,0.3853466484236173,0.021042031207050213,0.3853081099049232
176.9665,0.04192424025406086,0.030326506501535615,0.2391248955799378,0.3917761479442566,0.021393116989455355,0.39173696641130895
176.9055,0.04128446067593165,0.029863712675860844,0.23547576028524383,0.38579749747536507,0.02106665002715765,0.3857589138672568
176.8099,0.04028178973053609,0.029138416122836384,0.22975678759388946,0.37642767805199095,0.020555006722310937,0.3763900315195326
176.8533,0.04073697716809037,0.029467682549627987,0.23235305762322944,0.3806813408446127,0.020787279938109665,0.38064326890333416
176.9335,0.04157812999048306,0.030076142628629805,0.2371507732074001,0.38854179605125244,0.021216503714769862,0.38850293798584085
176.881,0.04102750002569969,0.02967783646718837,0.23401012397835996,0.38339623622146835,0.020935528050497223,0.3833578927635005
176.8105,0.040288082644419375,0.02914296819325289,0.2297926807279359,0.37648648445004607,0.02055821787275979,0.37644883203635976
176.8207,0.040395062180434226,0.029220353390332795,0.2304028640067197,0.37748619321697363,0.0206128074303898,0.3774484408224126
176.7429,0.03957908101357473,0.028630101592997045,0.2257487209587351,0.3698609636025548,0.020196428255525048,0.36982397380721516
176.7739,0.03990421489754221,0.02886529189784829,0.22760319955112157,0.3728992941687145,0.02036233769538135,0.37286200050993185
176.8874,0.041094624440454336,0.029726391884964166,0.23439298407485312,0.38402350446738587,0.020969780321951466,0.38398509827632016
176.8942,0.041165944131131046,0.02977798201635087,0.23479977292737644,0.3846899769786723,0.021006173360371545,0.38465150413369004
176.8326,0.040519871639119,0.02931063612025991,0.23111474449863856,0.37865252011172973,0.020676495247625208,0.3786146510728148
