Temp,Acetaldehyde Concentration Relative to CO
176.8481,0.9123169985820594
176.8945,0.9232303290960994
176.8788,0.9195376720040741
176.7941,0.8996161397941493
176.7974,0.900392303386749
176.8505,0.9128814811948595
176.9009,0.9247356160635671
176.9665,0.9401648074799738
176.9055,0.9258175410714143
176.8099,0.9033323169950572
176.8533,0.9135400442431156
176.9335,0.9324031715540384
176.881,0.9200551143991297
176.8105,0.9034734376482573
176.8207,0.9058724887526349
176.7429,0.8875738440545134
176.7739,0.8948650778031296
176.8874,0.9215604013665877
176.8942,0.9231597687695093
176.8326,0.9086713817077597
176.8189,0.9054491267930419
176.8509,0.912975561630314
176.8443,0.9114232344451294
176.9281,0.9311330856752446
176.9268,0.9308273242599812
176.8664,0.9166211785046223
176.914,0.9278167503250649
176.883,0.9205255165764672
176.9234,0.9300276405585155
176.8343,0.9090712235584872
176.8869,0.9214428008222504
176.8666,0.9166682187223587
176.8004,0.9010979066527429
176.889,0.9219367231084515
177.0114,0.9507253363610335
176.8458,0.9117760360781294
176.9231,0.9299570802319238
176.9848,0.9444689874025464
177.0193,0.9525834249614739
177.032,0.9555704787875248
176.9611,0.9388947216011805
176.8494,0.9126227599973222
176.9185,0.9288751552240582
176.8734,0.918267586125281
176.9646,0.9397179254115093
176.9394,0.9337908579771591
176.8496,0.9126698002150595
176.9133,0.9276521095630007
176.7969,0.9002747028424134
176.792,0.8991222175079561
176.7845,0.89735820934297
176.8007,0.9011684669793422
176.9141,0.9278402704339379
176.8142,0.9043436816763233
176.7997,0.900933265890679
176.7839,0.8972170886897711
176.8388,0.9101296284574717
176.9101,0.9268994660792819
177.0272,0.954441513561932
177.0201,0.9527715858324097
176.969,0.9407528102016385
177.0026,0.9486555667807732
176.9059,0.9259116215068884
176.8848,0.9209488785360588
176.8855,0.9211135192981229
176.9602,0.9386830406213793
177.023,0.9534536689895389
176.9497,0.9362134291904096
176.8147,0.9044612822206504
176.8542,0.9137517252229074
176.9009,0.9247356160635671
176.9337,0.932450211771766
176.8691,0.9172562214440235
176.9353,0.9328265335136386
176.9734,0.9417876949917586
176.9555,0.9375775955046587
176.8202,0.9057548882083077
176.9251,0.9304274824092424
176.8746,0.9185498274316727
177.0054,0.9493141298290388
177.0023,0.9485850064541743
177.0163,0.9518778216954813
177.1247,0.9766125694982255
177.248,1.0002532747757396
177.2921,1.0087087095100475
177.5623,1.0605150239138283
177.7207,1.0979699549087558
177.9972,1.154316854329125
178.29,1.1863741253650697
178.6543,1.2769511444298738
179.0592,1.328953246020408
179.3064,1.3738412051187883
179.7101,1.4758507758511408
180.1774,1.4874553163100355
180.5681,1.5523275688082587
180.8962,1.6646842897758765
181.384,1.661166806420344
181.8506,1.7607605125365027
182.297,1.8343866185217073
182.8438,1.8275872659189547
183.2631,1.8948859355536756
183.6243,1.874872976771817
184.0933,2.0377455538247538
184.5898,2.121496243108868
185.0357,2.0642731656349635
185.4777,2.120220953793815
185.9069,2.1061426507100895
186.4914,2.059854727945618
187.0203,2.084600561581517
187.6229,2.0665251439076844
188.1595,2.0712362005105778
188.6697,2.068162444021017
189.3571,2.101899090828015
189.9038,2.10946765488445
190.5653,2.1080124892784124
191.2235,2.0764725224187117
191.9041,2.1144351507504195
192.46,2.024886124037473
193.0445,2.070788905490179
193.7611,2.1019138919579574
194.4817,2.0523478817438865
195.1538,2.066009189599941
195.7753,2.062047394822407
196.417,2.069581321308644
197.0638,2.0720131910506736
197.6513,2.1537271301271965
198.3369,2.12981891862478
199.1706,2.2995943496991598
199.7659,2.2673960715516097
