Mass,Crotyl Alcohol
1.0,0.0
2.0,2.048087443647209
12.0,0.0
13.0,0.0
14.0,3.7169882310015963
15.0,9.762639437154586
16.0,0.0
17.0,0.0
18.0,1.0131575188454247
19.0,1.0564950109561688
20.0,0.0
22.0,0.0
24.0,0.0
25.0,2.7629375811351244
26.0,14.635768855068779
27.0,54.22191680627965
28.0,18.461720805441836
29.0,93.41620158582644
30.0,4.714670385454953
31.0,36.2146655805394
32.0,1.5519124186803526
33.0,0.0
34.0,0.0
36.0,1.261328684641254
37.0,7.855627458810516
38.0,13.769089942218244
39.0,58.973784789368096
40.0,8.078669091713342
41.0,34.38668376988171
42.0,8.872419450859557
43.0,44.4417852031563
44.0,11.544121843243627
45.0,3.269790300773043
46.0,0.0
47.0,0.0
48.0,0.0
49.0,2.350524140711769
50.0,6.866497730433301
51.0,6.096045128871148
52.0,2.1610916903460784
53.0,13.64073616899919
54.0,9.192897758407554
55.0,8.734710604047104
56.0,2.048087443647209
57.0,100.0
58.0,3.2371154311506487
59.0,0.0
66.0,0.0
67.0,0.0
68.0,0.0
69.0,1.86469172590145
70.0,1.4308702500482329
71.0,7.26724879977657
72.0,26.922311367683637
73.0,1.1666808159129058
