Mass,Crotyl Alcohol
2.0,2.048087443647209
12.0,0.45989159536241864
13.0,0.9037847423419576
14.0,3.716988231001596
15.0,9.762639437154586
16.0,0.8578512213642591
17.0,0.952534567882541
18.0,1.0131575188454247
19.0,1.0564950109561688
24.0,0.41693437564110697
25.0,2.7629375811351244
26.0,14.635768855068777
27.0,54.221916806279644
28.0,18.461720805441836
29.0,93.41620158582644
30.0,4.714670385454953
31.0,36.2146655805394
32.0,1.5519124186803523
34.0,0.3116136387645673
36.0,1.261328684641254
37.0,7.855627458810515
38.0,13.769089942218242
39.0,58.97378478936809
40.0,8.078669091713342
41.0,34.38668376988171
42.0,8.872419450859557
43.0,44.4417852031563
44.0,11.544121843243627
45.0,3.2697903007730424
48.0,0.47731864996882734
49.0,2.350524140711769
50.0,6.8664977304333
51.0,6.096045128871147
52.0,2.1610916903460784
53.0,13.640736168999188
54.0,9.192897758407554
55.0,8.734710604047104
56.0,2.048087443647209
57.0,99.99999999999999
58.0,3.2371154311506483
59.0,0.3395769574660206
68.0,0.32774614788560646
69.0,1.8646917259014497
70.0,1.4308702500482329
71.0,7.267248799776569
72.0,26.922311367683633
73.0,1.1666808159129058
