Temp,CO Concentration Relative to CO,CO2 Concentration Relative to CO,H2 Concentration Relative to CO
176.8481,3.928153786172795,1.2595675533448334,0.70631235201721
176.8945,3.9277632685585036,1.2586533066349852,0.7063319875717974
176.8788,3.927895404906443,1.258962653043272,0.7063253436449219
176.7941,3.9286082678790835,1.2606315473606162,0.7062895002941989
176.7974,3.9285804939970324,1.2605665255040945,0.7062908967883829
176.8505,3.9281335869858482,1.2595202647219104,0.7063133676493438
176.9009,3.927709404059979,1.2585272036405173,0.7063346959241543
176.9665,3.927157292950119,1.257234647947279,0.7063624565358124
176.9055,3.9276706889516673,1.2584365671132516,0.7063366425524108
176.8099,3.928475289898356,1.2603202305930357,0.7062961865390799
176.8533,3.928110021267745,1.2594650946618324,0.7063145525535
176.9335,3.9274350317706292,1.2578848665124742,0.7063484915939721
176.881,3.9278768889850753,1.258919305138927,0.7063262746410446
176.8105,3.928470240101619,1.260308408437303,0.7062964404471134
176.8207,3.9283843935570983,1.2601074317898813,0.7063007568836822
176.7429,3.9290391838672685,1.2616403713163131,0.7062678334753439
176.7739,3.928778277702546,1.2610295599368844,0.7062809520570724
176.8874,3.9278230244865537,1.2587932021444648,0.7063289829934015
176.8942,3.9277657934568713,1.2586592177128484,0.7063318606177807
176.8326,3.928284239255156,1.2598729590345479,0.7063057927263457
176.8189,3.9283995429473086,1.2601428982570726,0.7062999951595819
176.8509,3.928130220454693,1.2595123832847617,0.7063135369213662
176.8443,3.928185768218794,1.259642426997799,0.7063107439329982
176.9281,3.9274804799412584,1.2579912659140544,0.706346206421671
176.9268,3.9274914211675194,1.2580168805848022,0.7063456562875986
176.8664,3.9279997673723317,1.2592069775950445,0.7063200962122305
176.914,3.927599150164566,1.2582690865737294,0.7063402395828847
176.883,3.9278600563292856,1.258879897953155,0.7063271210011562
176.9234,3.9275200366823615,1.2580838728006132,0.706344217475409
176.8343,3.928269931497736,1.259839462926643,0.7063065121324406
176.8869,3.927827232650501,1.2588030539409076,0.7063287714033736
176.8666,3.9279980841067523,1.259203036876466,0.7063201808482417
176.8004,3.928555245013349,1.2605074147254398,0.7062921663285502
176.889,3.9278095583619215,1.2587616763958476,0.7063296600814908
177.0114,3.926779399827669,1.2563499566267484,0.7063814573203161
176.8458,3.9281731437269536,1.2596128716084698,0.7063113787030818
