Temp,Acetaldehyde Concentration Relative to CO,(E) 2-Butenal (Crotonaldehyde Concentration Relative to CO,CO Concentration Relative to CO,CO2 Concentration Relative to CO,Ethylene (Ethene) Concentration Relative to CO,Ethanol Concentration Relative to CO,Crotyl Alcohol Concentration Relative to CO,H2 Concentration Relative to CO,H2O Concentration Relative to CO
176.8481,2.9321632691773134,-0.04738340777019461,7.470175734799364,-9.804908062272359,0.14298258153206989,0.11391489487928444,0.9941142778034703,0.7062537538192901,0.2340219917854947
176.8945,2.9424177596421637,-0.04705336157766812,7.459920541828911,-9.779997603444517,0.14299728445183058,0.11401890433577873,0.991394843367229,0.7062733833482161,0.23419049125872735
176.8788,2.938948029032294,-0.04716503669022558,7.463390510140037,-9.788426357832396,0.14299230954148054,0.11398371148088743,0.9923149968294919,0.706266741460196,0.23413347742834484
176.7941,2.9202291638949496,-0.04776751325287634,7.4821106576529095,-9.833898682459944,0.14296547037545138,0.113793849391123,0.9972791368456472,0.7062309091089021,0.23382589326061173
176.7974,2.9209584703288805,-0.047744040140045796,7.481381301256308,-9.832127033448492,0.14296651605724456,0.11380124661539956,0.9970857287930688,0.7062323051745368,0.23383787705935474
176.8505,2.9326936738565346,-0.047366336415408626,7.469645293783645,-9.803619590264013,0.14298334202791993,0.11392027467875833,0.993973617401595,0.7062547691397518,0.23403070727548955
176.9009,2.9438321721200755,-0.047007837964905624,7.458506032453672,-9.776561678088944,0.14299931244076305,0.11403325046770901,0.9910197489622301,0.7062760908694474,0.2342137325653802
176.9665,2.9583299000186463,-0.04654122093409247,7.444007311357512,-9.741343443194395,0.1430200993273217,0.11418029831999404,0.9871750313109938,0.7063038429620672,0.23445195595857118
176.9055,2.9448487810885746,-0.046975117868233086,7.457489353840235,-9.774092106739666,0.14300077005780754,0.11404356175003384,0.9907501498586391,0.7062780369003324,0.2342304372545368
176.8099,2.923720994699794,-0.04765512683386956,7.478618587632802,-9.8254162417384,0.14297047697312876,0.11382926640432584,0.9963531225333064,0.7062375933019415,0.23388327023641084
176.8533,2.933312479315617,-0.04734641983482547,7.469026445931993,-9.802116372920981,0.14298422927307722,0.11392655111147779,0.9938095135994098,0.7062559536802905,0.23404087534715
176.9335,2.951036835679428,-0.04677595206239803,7.45130087532357,-9.759059933309036,0.14300964250938805,0.11410632607722872,0.9891091118367678,0.7062898823057188,0.2343321179711428
176.881,2.9394342333215677,-0.04714938794833859,7.4629042725422945,-9.787245258491403,0.14299300666267664,0.1139886429637384,0.9921860581277743,0.7062676721706191,0.23414146662750662
176.8105,2.92385359586959,-0.04765085899517303,7.478485977378864,-9.825094123736289,0.14297066709709189,0.11383061135419427,0.9963179574328371,0.7062378471320568,0.23388544910890957
176.8207,2.9261078157562657,-0.04757830573733321,7.4762316030620966,-9.819618117700895,0.14297389920445225,0.11385347550195808,0.9957201507248722,0.7062421622440191,0.23392248994138742
176.7429,2.9089138640716654,-0.048131702154974663,7.493426732654789,-9.861386085304456,0.14294924646399185,0.11367908033568103,1.000279892085637,0.7062092489390526,0.23363996280738952
176.7739,2.915764924511547,-0.04791119715565713,7.486575202868494,-9.84474332186344,0.14295906953538368,0.11374856941221816,0.9984630285614231,0.7062223634950162,0.233752537886489
176.8874,2.94084864579949,-0.04710386433557617,7.4614897631670605,-9.783809333135844,0.14299503465160815,0.11400298909566871,0.9918109637227733,0.7062703796918505,0.23416470793415944
176.8942,2.9423514590572615,-0.047055495497016396,7.459986846955873,-9.780158662445547,0.1429971893898496,0.11401823186084453,0.9914124259174628,0.7062732564331585,0.23418940182247802
176.8326,2.928737738957382,-0.04749366026985318,7.473601499692512,-9.81322944399287,0.14297766999637412,0.11388015034101594,0.9950227095655754,0.7062471965413085,0.23396570424594504
176.8189,2.9257100122468573,-0.04759110925342244,7.476629433823877,-9.820584471707136,0.14297332883256492,0.11384944065235278,0.9958256460262763,0.7062414007536728,0.23391595332389145
176.8509,2.932782074636403,-0.0473634911896111,7.469556886947705,-9.803404844929316,0.1429834687772278,0.11392117131200394,0.9939501740012833,0.7062549383598288,0.23403215985715534
