time-s,2buten1ol(crotyl alcohol) Concentration Relative to CO,2butenalE(crotonaldehyde) Concentration Relative to CO,13butadiene Concentration Relative to CO
5618.562,2.094616724695074e-05,1.1875408308616417e-06,3.350774647126946e-06
5638.531,2.3006441398792405e-05,1.3043476289896832e-06,3.680880819090241e-06
5658.5,2.1426910094904045e-05,1.214795832780936e-06,3.4280401287761853e-06
