Source:,NIST, NIST, NIST
Molecules,2buten1ol(crotyl alcohol), 2butenalE(crotonaldehyde), 13butadiene
Electron Numbers,40, 38, 30
ionizationEfficiencies,2.1142857142857143, 2.0285714285714285, 1.685714285714286
ionizationEfficienciesSources,MadixAndKo, MadixAndKo, MadixAndKo
Molecular Mass,72.11, 70.09, 54.09
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000100010001000184e-01
1.200000000000000000e+01,2.700270027002700246e-01,0.000000000000000000e+00,4.000400040004000735e-01
1.300000000000000000e+01,5.400540054005400492e-01,0.000000000000000000e+00,3.000300030003000273e-01
1.400000000000000000e+01,2.260226022602260354e+00,0.000000000000000000e+00,5.000500050005001196e-01
1.500000000000000000e+01,6.040604060406041143e+00,0.000000000000000000e+00,3.000300030003000273e-01
1.600000000000000000e+01,5.400540054005400492e-01,0.000000000000000000e+00,1.000100010001000184e-01
1.700000000000000000e+01,6.100610061006100926e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.800000000000000000e+01,6.600660066006600601e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.900000000000000000e+01,7.000700070007001008e-01,0.000000000000000000e+00,1.000100010001000184e-01
2.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.400000000000000000e+01,3.000300030003000273e-01,0.000000000000000000e+00,2.000200020002000367e-01
2.500000000000000000e+01,2.020202020202020332e+00,5.000500050005000752e+00,2.500250025002500376e+00
2.600000000000000000e+01,1.087108710871087247e+01,1.800180018001800164e+01,1.541154115411541170e+01
2.700000000000000000e+01,4.090409040904090432e+01,4.900490049004901039e+01,4.944494449444944451e+01
2.800000000000000000e+01,1.414141414141414188e+01,0.000000000000000000e+00,3.413341334133413341e+01
2.900000000000000000e+01,7.263726372637263751e+01,3.900390039003900711e+01,8.000800080008001469e-01
3.000000000000000000e+01,3.720372037203720339e+00,2.000200020002000478e+00,0.000000000000000000e+00
3.100000000000000000e+01,2.899289928992899590e+01,2.000200020002000478e+00,0.000000000000000000e+00
3.200000000000000000e+01,1.260126012601260115e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.300000000000000000e+01,0.000000000000000000e+00,1.000100010001000239e+00,0.000000000000000000e+00
3.400000000000000000e+01,2.600260026002600422e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.600000000000000000e+01,1.080108010801080098e+00,4.000400040004000957e+00,9.000900090009000820e-01
3.700000000000000000e+01,6.810681068106810621e+00,1.800180018001800164e+01,4.400440044004400697e+00
3.800000000000000000e+01,1.208120812081208229e+01,2.900290029002900383e+01,5.810581058105810826e+00
3.900000000000000000e+01,5.234523452345234773e+01,9.700970097009701476e+01,1.000000000000000000e+02
4.000000000000000000e+01,7.250725072507250957e+00,2.700270027002700246e+01,3.500350035003500615e+00
4.100000000000000000e+01,3.119311931193119491e+01,1.000000000000000000e+02,2.000200020002000367e-01
4.200000000000000000e+01,8.130813081308131629e+00,3.000300030003000273e+01,0.000000000000000000e+00
4.300000000000000000e+01,4.112411241124112848e+01,4.000400040004000957e+00,0.000000000000000000e+00
4.400000000000000000e+01,1.078107810781078157e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000000e+01,3.080308030803080577e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.800000000000000000e+01,4.600460046004600789e-01,1.000100010001000239e+00,1.500150015001500137e+00
4.900000000000000000e+01,2.280228022802280208e+00,4.000400040004000957e+00,8.110811081108110443e+00
