Mass,2buten1ol(crotyl alcohol),2butenalE(crotonaldehyde),13butadiene
1.0,0.0,0.0,0.0
2.0,0.0,0.0,19.997999999999998
12.0,7.406666666666667,0.0,4.999499999999999
13.0,3.7033333333333336,0.0,6.666
14.0,0.8848672566371681,0.0,3.9995999999999996
15.0,0.33109271523178807,0.0,6.666
16.0,3.7033333333333336,0.0,19.997999999999998
17.0,3.2783606557377047,0.0,0.0
18.0,3.0300000000000002,0.0,0.0
19.0,2.8568571428571428,0.0,19.997999999999998
21.0,0.0,0.0,0.0
24.0,6.666,0.0,9.998999999999999
25.0,0.99,0.39996,0.79992
26.0,0.18397424103035875,0.1111,0.12977287475665153
27.0,0.04889486552567237,0.04081224489795918,0.04044902912621359
28.0,0.14142857142857143,0.0,0.05859361265748608
29.0,0.027534076827757124,0.051276923076923074,2.4997499999999997
30.0,0.5375806451612903,0.9998999999999999,0.0
31.0,0.06898240772680234,0.9998999999999999,0.0
32.0,1.5871428571428572,0.0,0.0
33.0,0.0,1.9997999999999998,0.0
34.0,7.691538461538461,0.0,0.0
36.0,1.8516666666666668,0.49994999999999995,2.222
37.0,0.29365638766519825,0.1111,0.45449999999999996
38.0,0.16554635761589404,0.06895862068965516,0.3441996557659208
39.0,0.038207871608712266,0.020616494845360822,0.02
40.0,0.27583448275862066,0.07406666666666667,0.5713714285714285
41.0,0.06411670407181788,0.02,9.998999999999999
42.0,0.24597785977859776,0.06666,0.0
43.0,0.04863326848249027,0.49994999999999995,0.0
44.0,0.18551020408163266,0.0,0.0
45.0,0.6492857142857142,0.0,0.0
46.0,0.0,0.0,0.0
47.0,0.0,0.0,0.0
48.0,4.347391304347826,1.9997999999999998,1.3332
49.0,0.8771052631578947,0.49994999999999995,0.24658446362515415
50.0,0.2984776119402985,0.39996,0.07456375838926174
51.0,0.3344147157190635,0.49994999999999995,0.07898104265402843
52.0,0.9388732394366197,0.9998999999999999,0.1752673093777388
53.0,0.14813333333333334,0.6666,0.028221845893310754
54.0,0.21903614457831327,1.9997999999999998,0.021008509297195083
55.0,0.22986206896551725,0.39996,0.4650697674418604
56.0,4.347391304347826,0.0,19.997999999999998
57.0,0.02,0.0,0.0
58.0,0.6172222222222222,0.0,0.0
59.0,5.881764705882352,0.0,0.0
60.0,0.0,0.0,0.0
61.0,0.0,0.0,0.0
66.0,0.0,1.9997999999999998,0.0
67.0,0.0,1.9997999999999998,0.0
68.0,6.249375,0.39996,0.0
69.0,1.1048618784530386,0.030766153846153846,0.0
70.0,1.4491304347826086,0.02438780487804878,0.0
71.0,0.2873275862068966,0.24997499999999997,0.0
72.0,0.07814771395076202,1.9997999999999998,0.0
73.0,1.8179999999999998,0.0,0.0
74.0,0.0,0.0,0.0
75.0,0.0,0.0,0.0
