Temp,CO Concentration(bar),CO2 Concentration(bar),H2 Concentration(bar)
176.8481,0.03065606157890103,0.015777265383922094,0.008813714399904993
176.8945,0.03065301423344448,0.015765804200078018,0.008813959599838357
176.8788,0.030654045339558008,0.015769682229956266,0.008813876633481595
176.7941,0.0306596080585272,0.01579060383063732,0.008813429037913578
176.7974,0.030659391329216707,0.015789788703338036,0.008813446476701941
176.8505,0.030655903957584305,0.015776672564068096,0.008813727082660167
176.9009,0.030652593909933218,0.01576422334713394,0.00881399342051882
176.9665,0.030648285593942923,0.015748019604457777,0.008814340082493578
176.9055,0.030652291802409515,0.015763087109080476,0.008814017729132904
176.8099,0.03065857038485881,0.01578670109993176,0.008813512532718473
176.8533,0.03065572006604814,0.015775980940905078,0.00881374187920787
176.9335,0.0306504528870478,0.015756170877450345,0.008814165694609934
176.881,0.030653900853351016,0.01576913881175678,0.008813888259340503
176.8105,0.030658530979529627,0.015786552894968237,0.008813515703407269
176.8207,0.030657861088933577,0.015784033410588736,0.008813569605116756
176.7429,0.030662970646617195,0.01580325065418943,0.008813158472469865
176.7739,0.03066093470460957,0.01579559339774183,0.008813322291390863
176.8874,0.030653480529839783,0.015767557958812767,0.008813922080020969
176.8942,0.03065303393610906,0.015765878302559745,0.008813958014493962
176.8326,0.030657079549904837,0.0157810940121459,0.008813632490444496
176.8189,0.030657979304921118,0.015784478025479227,0.008813560093050376
176.8509,0.03065587768736487,0.015776573760759156,0.008813729196452697
176.8443,0.03065631114598584,0.015778204015357653,0.008813694318875966
176.9281,0.030650807535010427,0.015757504722121896,0.008814137158410795
176.9268,0.030650892913223638,0.015757825832876115,0.008814130288585074
176.8664,0.03065485971636106,0.015772745132535324,0.008813811105913194
176.914,0.030651733560246138,0.015760987538764176,0.008814062647224145
176.883,0.030653769502253743,0.015768644795211742,0.008813898828303149
176.9234,0.030651116210089,0.01575866566100266,0.008814112321348579
176.8343,0.030656967901472168,0.015780674098082634,0.008813641474062743
176.8869,0.030653513367614092,0.01576768146294902,0.008813919437780305
176.8666,0.030654846581251328,0.015772695730880804,0.00881381216280946
176.8004,0.030659194302570806,0.01578904767852053,0.00881346233014591
176.889,0.030653375448961954,0.01576716274557674,0.008813930535191083
177.0114,0.03064533676180932,0.015736928933022337,0.008814577355704959
176.8458,0.0306562126326629,0.01577783350294887,0.008813702245597953
176.9231,0.03065113591275357,0.015758739763484395,0.008814110736004181
176.9848,0.030647083731402944,0.015743499353070935,0.00881443678850178
177.0193,0.03064481792497513,0.01573497756766961,0.008814619103107407
177.032,0.03064398384550748,0.015731840562608793,0.0088146862160202
176.9611,0.030648640241905546,0.015749353449129283,0.008814311546294437
176.8494,0.030655976200687798,0.01577694427316787,0.008813721269730712
176.9185,0.03065143802027729,0.015759876001537925,0.008814086427390098
176.8734,0.03065439998752062,0.01577101607462778,0.008813848097282454
176.9646,0.03064841037748534,0.01574848892017553,0.008814330041979065
176.9394,0.030650065401310878,0.015754713528642585,0.008814196873049737
176.8496,0.030655963065578086,0.015776894871513347,0.008813722326626977
176.9133,0.030651779533130193,0.015761160444554955,0.00881405894808722
176.7969,0.030659424166991023,0.015789912207474308,0.00881344383446128
176.792,0.030659745977179343,0.015791122548009573,0.0088134179405028
176.7845,0.03066023854379408,0.01579297511005334,0.008813378306892881
176.8007,0.030659174599906237,0.015788973576038794,0.008813463915490306
176.9141,0.030651726992691267,0.0157609628379369,0.008814063175672281
176.8142,0.030658287979999678,0.015785638964359958,0.00881353525598816
176.7997,0.030659240275454847,0.015789220584311262,0.008813458631008984
176.7839,0.03066027794912325,0.01579312331501682,0.008813375136204088
176.8388,0.030656672361503316,0.01577956256085641,0.008813665254228694
176.9101,0.030651989694885806,0.015761950871026907,0.008814042037746989
177.0272,0.030644299088140925,0.015733026202316813,0.008814660850509854
177.0201,0.030644765384536213,0.01573477996105163,0.008814623330692464
176.969,0.030648121405071338,0.01574740208377649,0.008814353293696885
177.0026,0.030645914706637287,0.015739102605820437,0.00881453085226932
176.9059,0.030652265532190054,0.015762988305771428,0.008814019842925434
176.8848,0.030653651286266202,0.015768200180321264,0.00881390834036953
176.8855,0.030653605313382168,0.015768027274530527,0.008813912039506456
176.9602,0.030648699349899302,0.015749575756574555,0.008814306790261246
177.023,0.03064457492544517,0.01573406363706134,0.0088146386556883
176.9497,0.030649388943159953,0.01575216934343578,0.008814251303207359
