Temp,m26.0,m27.0,m28.0,m29.0,m41.0,m44.0
176848.09999999998,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
176894.5,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
176878.80000000002,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
176794.09999999998,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
176797.40000000002,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
176850.5,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
176900.9,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
176966.5,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
176905.5,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
176809.9,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
176853.3,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
176933.5,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
176881.0,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
176810.5,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
176820.69999999998,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
176742.9,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
176773.9,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
176887.40000000002,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
176894.2,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
176832.6,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
176818.90000000002,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
176850.9,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
176844.30000000002,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
176928.1,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
176926.8,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
176866.4,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
176914.0,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
176883.0,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
176923.4,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
176834.30000000002,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
176886.9,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
176866.6,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
176800.4,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
176889.0,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
177011.40000000002,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
176845.8,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
176923.1,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
176984.80000000002,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
177019.3,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
177032.0,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
176961.09999999998,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
176849.4,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
176918.5,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
176873.4,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
176964.59999999998,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
176939.4,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
176849.6,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
176913.3,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
176796.9,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
176792.0,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
176784.5,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
176800.7,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
176914.09999999998,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
176814.2,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
176799.7,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
176783.9,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
176838.8,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
176910.1,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
177027.19999999998,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
177020.1,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
176969.0,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
177002.6,229999.42215134136,166373.41378050303,1311856.5171865763,2149312.3570946376,117364.19111647888,2149097.4043636555
