Temp,Ethylene (Ethene)Concentration(bar)
176.8481,0.0033882180089795026
176.8945,0.003387878398413468
176.8788,0.0033879933097472267
176.7941,0.003388613245414137
176.7974,0.003388589092076466
176.8505,0.003388200442915738
176.9009,0.0033878315555767578
176.9665,0.0033873514165006246
176.9055,0.003387797887287888
176.8099,0.0033884976021610453
176.8533,0.0033881799491746853
176.9335,0.003387592949877335
176.881,0.003387977207522119
176.8105,0.0033884932106451023
176.8207,0.00338841855487412
176.7429,0.0033889879881077033
176.7739,0.003388761093117455
176.8874,0.003387930364685421
176.8942,0.0033878805941714267
176.8326,0.0033883314564746303
176.8189,0.0033884317294219407
176.8509,0.003388197515238461
176.8443,0.0033882458219138007
176.9281,0.0033876324735208005
176.9268,0.003387641988472004
176.8664,0.003388084067743332
176.914,0.003387735674145398
176.883,0.003387962569135641
176.9234,0.003387666873729003
176.8343,0.0033883190138461364
176.8869,0.00338793402428204
176.8666,0.003388082603904686
176.8004,0.0033885671344967665
176.889,0.003387918653976246
177.0114,0.0033870227847244225
176.8458,0.0033882348431239417
176.9231,0.0033876690694869724
176.9848,0.0033872174752644416
177.0193,0.0033869649630978824
177.032,0.0033868720093438043
176.9611,0.0033873909401440894
176.8494,0.0033882084940283085
176.9185,0.0033877027377758498
176.8734,0.0033880328333906915
176.9646,0.003387365322967764
176.9394,0.003387549766637258
176.8496,0.003388207030189653
176.9133,0.0033877407975806697
176.7969,0.003388592751673083
176.792,0.0033886286157199293
176.7845,0.0033886835096691853
176.8007,0.003388564938738795
176.9141,0.0033877349422260683
176.8142,0.0033884661296301305
176.7997,0.0033885722579320276
176.7839,0.0033886879011851196
176.8388,0.003388286077476582
176.9101,0.003387764218999009
177.0272,0.0033869071414713257
177.0201,0.0033869591077432936
176.969,0.0033873331185175323
177.0026,0.0033870871936248874
176.9059,0.0033877949596105954
176.8848,0.0033879493945878315
176.8855,0.0033879442711525617
176.9602,0.003387397527418005
177.023,0.003386937882082911
176.9497,0.0033874743789469473
176.8147,0.003388462470033516
176.8542,0.003388173361900791
176.9009,0.0033878315555767578
176.9337,0.0033875914860386934
176.8691,0.0033880643059215937
176.9353,0.0033875797753295136
176.9734,0.0033873009140673142
176.9555,0.003387431927626197
176.8202,0.003388422214470735
176.9251,0.0033876544311005116
176.8746,0.0033880240503588155
177.0054,0.003387066699883831
177.0023,0.0033870893893828496
177.0163,0.0033869869206775804
177.1247,0.003387042463294691
177.248,0.0033921185694868773
177.2921,0.003393934111117643
177.5623,0.00340505790587128
177.7207,0.003398908504909014
177.9972,0.003404331143578528
178.29,0.0034388313255183807
178.6543,0.0034066333870273902
179.0592,0.003440591770899321
179.3064,0.0034474465633196603
179.7101,0.003380130768205905
180.1774,0.0034342413960152763
180.5681,0.0034402018723270135
180.8962,0.0033420545550543472
181.384,0.0034093083051340393
181.8506,0.0033288610339812937
182.297,0.003322707188320437
182.8438,0.0034220624386788476
183.2631,0.0033789697617789003
183.6243,0.0034385546046904886
184.0933,0.003453770978008223
184.5898,0.003408368203389928
185.0357,0.00346139263833394
185.4777,0.0034025394013986964
185.9069,0.0034420043456294684
186.4914,0.003516834018097982
187.0203,0.003528533374556741
187.6229,0.0035796246784323823
188.1595,0.003594157313413115
188.6697,0.0036245797890216195
189.3571,0.0036025838756571084
189.9038,0.0036064663262301046
190.5653,0.0036201923581333302
191.2235,0.0036867050086244447
191.9041,0.003624841010896574
192.46,0.0037583016164184514
193.0445,0.0036993459059023208
193.7611,0.003683984672653256
194.4817,0.003756246656721375
195.1538,0.003749140318186232
195.7753,0.0037564625255837782
196.417,0.0037485440414044315
197.0638,0.0037505740414860815
197.6513,0.003686958116269836
198.3369,0.0036975795709311113
199.1706,0.003503580745288337
199.7659,0.003508999730436392
