Temp,m2.0,m26.0,m27.0,m28.0,m29.0,m44.0,m45.0
176.8481,0.00019919123228953937,0.0697990596750213,0.08093852291809804,0.12781356466170926,0.0028962203839825065,0.0,0.0
176.8945,0.00019917126679529795,0.06979206352008024,0.08093041022360514,0.1278007535506985,0.0028959300877142743,0.0,0.0
176.8788,0.000199178022361237,0.06979443075354075,0.08093315525169847,0.12780508834472556,0.0028960283129602,0.0,0.0
176.7941,0.00019921446799404596,0.06980720175189288,0.08094796441599987,0.127828474144352,0.0028965582287774536,0.0,0.0
176.7974,0.00019921304803432617,0.06980670418052853,0.08094738743557257,0.12782756300930168,0.0028965375827066527,0.0,0.0
176.8505,0.00019919019959156113,0.06979869780493805,0.08093810329596901,0.12781290201803613,0.0028962053686582842,0.0,0.0
176.9009,0.00019916851293402232,0.06979109853319149,0.08092929123126091,0.12779898650090332,0.002895890046849677,0.0,0.0
176.9665,0.00019914028585595598,0.06978120741758484,0.08091782155973609,0.1277808742405082,0.0028954796279876795,0.0,0.0
176.9055,0.00019916653359623143,0.06979040494886553,0.08092848695551387,0.12779771643386362,0.002895861267478261,0.0,0.0
176.8099,0.00019920766939902397,0.06980481944051205,0.08094520190365095,0.12782411174017155,0.002896459377893011,0.0,0.0
176.8533,0.00019918899477725354,0.0697982756231744,0.0809376137368186,0.12781212893375105,0.00289618785078003,0.0,0.0
176.9335,0.00019915448545315386,0.06978618313122839,0.0809235913640092,0.12778998559101176,0.0028956860886956946,0.0,0.0
176.881,0.00019917707572142415,0.06979409903929798,0.08093277059808042,0.1278044809213589,0.0028960145489130046,0.0,0.0
176.8105,0.00019920741122452927,0.06980472897299118,0.08094509699811864,0.12782394607925318,0.0028964556240619536,0.0,0.0
176.8207,0.00019920302225812274,0.06980319102513775,0.08094331360407062,0.12782112984364305,0.0028963918089340225,0.0,0.0
176.7429,0.00019923649888424404,0.06981492164700048,0.08095691635475093,0.12784261054270912,0.002896878555694134,0.0,0.0
176.7739,0.00019922315986869426,0.0698102474917595,0.08095149623558519,0.12783405139526624,0.002896684607756298,0.0,0.0
176.8874,0.00019917432186014925,0.06979313405240949,0.08093165160573648,0.1278027138715642,0.0028959745080484175,0.0,0.0
176.8942,0.00019917139588254454,0.0697921087538404,0.080930462676371,0.1278008363811572,0.002895931964629792,0.0,0.0
176.8326,0.00019919790179731447,0.06980139675264187,0.08094123297768101,0.12781784423543083,0.002896317357951428,0.0,0.0
176.8189,0.00019920379678160625,0.06980346242770014,0.08094362832066733,0.1278216268263978,0.002896403070427187,0.0,0.0
176.8509,0.00019919002747523243,0.06979863749325788,0.0809380333589479,0.1278127915774246,0.0028962028661042617,0.0,0.0
176.8443,0.00019919286739467185,0.06979963263598653,0.08093918731980247,0.12781461384752518,0.0028962441582458627,0.0,0.0
176.9281,0.0001991568090236046,0.06978699733891557,0.08092453551379941,0.1277914765392761,0.0028957198731751903,0.0,0.0
176.9268,0.00019915736840167605,0.06978719335187729,0.08092476280911926,0.12779183547126563,0.0028957280064758092,0.0,0.0
176.8664,0.00019918335796745724,0.06979630041563727,0.08093532329936491,0.12780851200370297,0.0028961058921353395,0.0,0.0
176.914,0.00019916287612422567,0.06978912332565423,0.08092700079380707,0.127795369570855,0.0028958080882049812,0.0,0.0
176.883,0.00019917621513977515,0.06979379748089512,0.0809324209129727,0.12780392871829768,0.0028960020361428127,0.0,0.0
176.9234,0.00019915883139047847,0.06978770600116185,0.08092535727380204,0.12779277421646917,0.0028957492781851234,0.0,0.0
176.8343,0.0001991971703029136,0.0698011404279997,0.08094093574533975,0.12781737486282926,0.0028963067220967756,0.0,0.0
176.8869,0.00019917453700556148,0.06979320944201019,0.0809317390270134,0.12780285192232949,0.002895977636240965,0.0,0.0
176.8666,0.00019918327190929247,0.06979627025979702,0.0809352883308542,0.12780845678339692,0.002896104640858322,0.0,0.0
176.8004,0.00019921175716185372,0.0698062518429246,0.08094686290791141,0.12782673470471048,0.0028965188135513797,0.0,0.0
176.889,0.0001991736333948305,0.06979289280568735,0.08093137185765048,0.1278022721091155,0.0028959644978322706,0.0,0.0
177.0114,0.00019912096579794978,0.0697744374314454,0.08090997112907336,0.12776847728179241,0.002895198716297069,0.0,0.0
176.8458,0.00019919222195843508,0.06979940646718437,0.08093892505597167,0.12781419969522925,0.002896234773668218,0.0,0.0
176.9231,0.0001991589604777257,0.06978775123492224,0.08092540972656816,0.1277928570469283,0.0028957511551006504,0.0,0.0
176.9848,0.00019913241153387312,0.06977844815820056,0.08091462194100266,0.12777582158250145,0.0028953651361405017,0.0,0.0
177.0193,0.0001991175665004391,0.06977324627575508,0.08090858987289902,0.12776629607970239,0.002895149290854852,0.0,0.0
177.032,0.00019911210180697142,0.06977133137989812,0.0809063693724664,0.1277627895902658,0.002895069834764183,0.0,0.0
176.9611,0.00019914260942640672,0.06978202162527203,0.0809187657095263,0.12778236518877256,0.0028955134124671756,0.0,0.0
176.8494,0.0001991906729114685,0.06979886366205978,0.08093829562277843,0.12781320572972008,0.0028962122506818963,0.0,0.0
176.9185,0.0001991609398155171,0.06978844481924837,0.08092621400231537,0.12779412711396826,0.002895779934472073,0.0,0.0
176.8734,0.00019918034593168773,0.06979524496122794,0.08093409940148868,0.1278065792929899,0.002896062097439696,0.0,0.0
176.9646,0.00019914110340852164,0.06978149389806726,0.08091815376058807,0.12778139883341583,0.002895491515119349,0.0,0.0
176.9394,0.00019915194673729127,0.06978529353394063,0.08092255979294222,0.1277883565919824,0.0028956491760236563,0.0,0.0
176.8496,0.00019919058685330317,0.06979883350621933,0.08093826065426747,0.12781315050941366,0.0028962109994048707,0.0,0.0
176.9133,0.00019916317732780308,0.06978922887109532,0.08092712318359488,0.12779556284192659,0.002895812467674552,0.0,0.0
176.7969,0.0001992132631797383,0.0698067795701292,0.08094747485684943,0.12782770106006688,0.0028965407108991984,0.0,0.0
176.792,0.00019921537160477683,0.06980751838821568,0.08094833158536276,0.12782905395756594,0.0028965713671861475,0.0,0.0
176.7845,0.00019921859878595837,0.06980864923222566,0.08094964290451581,0.12783112471904415,0.0028966182900743353,0.0,0.0
176.8007,0.0001992116280746064,0.06980620660916417,0.08094681045514526,0.12782665187425132,0.0028965169366358514,0.0,0.0
176.9141,0.00019916283309514288,0.06978910824773397,0.08092698330955156,0.12779534196070172,0.0028958074625664667,0.0,0.0
176.8142,0.0001992058191484794,0.06980417108994616,0.08094445008066967,0.1278229245035904,0.0028964324754371094,0.0,0.0
176.7997,0.0001992120583654305,0.06980635738836548,0.08094698529769896,0.12782692797578168,0.002896523193020942,0.0,0.0
176.7839,0.00019921885696045253,0.06980873969974632,0.0809497478100479,0.1278312903799622,0.002896622043905385,0.0,0.0
176.8388,0.00019919523399420462,0.0698004619215937,0.08094014895384789,0.1278161324059423,0.0028962785683638616,0.0,0.0
176.9101,0.00019916455425843997,0.06978971136453938,0.08092768267976662,0.12779644636682358,0.002895832488106837,0.0,0.0
177.0272,0.00019911416720292747,0.06977205512006444,0.0809072086167243,0.12776411487761175,0.0028950998654126213,0.0,0.0
177.0201,0.00019911722226777963,0.06977312565239399,0.08090844999885599,0.127766075198478,0.002895144285746777,0.0,0.0
176.969,0.00019913921012889506,0.06978083046958138,0.08091738445335157,0.1277801839866819,0.002895463987024944,0.0,0.0
177.0026,0.00019912475235720303,0.06977576428841718,0.08091150974354638,0.12777090697526036,0.00289525377248588,0.0,0.0
176.9059,0.00019916636147990178,0.06979034463718502,0.0809284170184924,0.1277976059932515,0.002895858764924225,0.0,0.0
176.8848,0.0001991754406162923,0.06979352607833297,0.08093210619637625,0.12780343173554334,0.0028959907746496576,0.0,0.0
176.8855,0.00019917513941271502,0.06979342053289192,0.08093198380658849,0.12780323846447184,0.0028959863951800884,0.0,0.0
176.9602,0.0001991429966881488,0.06978215732655332,0.08091892306782479,0.12778261368015012,0.0028955190432137625,0.0,0.0
177.023,0.00019911597442438925,0.06977268839271007,0.08090794295545006,0.12776527450403963,0.002895126142230008,0.0,0.0
176.9497,0.00019914751474180202,0.06978374050816695,0.0809207589146387,0.12778551274621902,0.002895584735257212,0.0,0.0
176.8147,0.00019920560400306747,0.06980409570034556,0.08094436265939287,0.1278227864528253,0.002896429347244566,0.0,0.0
176.8542,0.0001991886075155127,0.06979813992189354,0.08093745637852062,0.12781188044237426,0.0028961822200334613,0.0,0.0
176.9009,0.00019916851293402232,0.06979109853319149,0.08092929123126091,0.12779898650090332,0.002895890046849677,0.0,0.0
176.9337,0.0001991543993949893,0.06978615297538822,0.08092355639549856,0.12778993037070585,0.0028956848374186803,0.0,0.0
176.8691,0.00019918219618223152,0.06979589331179355,0.08093485122446967,0.12780776652957054,0.0028960889998955863,0.0,0.0
176.9353,0.00019915371092967026,0.06978591172866598,0.08092327664741245,0.12778948860825698,0.0028956748272025287,0.0,0.0
176.9734,0.00019913731684926926,0.06978016704109578,0.08091661514611541,0.1277789691399485,0.002895436458930551,0.0,0.0
176.9555,0.00019914501905502206,0.0697828659887994,0.08091974482782717,0.12778391135734282,0.0028955484482236864,0.0,0.0
176.8202,0.00019920323740353472,0.06980326641473837,0.08094340102534743,0.12782126789440817,0.0028963949371265665,0.0,0.0
176.9251,0.00019915809989607774,0.06978744967651974,0.08092506004146084,0.12779230484386772,0.0028957386423304732,0.0,0.0
176.8746,0.00019917982958269896,0.06979506402618645,0.08093388959042432,0.12780624797115359,0.00289605458977759,0.0,0.0
177.0054,0.0001991235475428952,0.06977534210665344,0.08091102018439589,0.1277701338909751,0.002895236254607622,0.0,0.0
177.0023,0.00019912488144444983,0.0697758095221774,0.08091156219631232,0.1277709898057192,0.002895255649401401,0.0,0.0
177.0163,0.00019911885737291146,0.06977369861335898,0.08090911440056014,0.12776712438429352,0.0028951680600101237,0.0,0.0
177.1247,0.00019912212268887328,0.06977484282026537,0.08091044121523855,0.1277692196154341,0.0028952155373741626,0.0,0.0
177.248,0.0001994205438190882,0.06987941325761213,0.08103170039522109,0.12796070529472195,0.0028995545504441915,0.0,0.0
177.2921,0.0001995272783839086,0.0699168143629402,0.08107507046689329,0.12802919287344472,0.0029011064602283486,0.0,0.0
177.5623,0.0002001812393683673,0.07014597034161811,0.0813407982076164,0.12844881518117685,0.0029106149868424387,0.0,0.0
177.7207,0.00019981971990525423,0.07001928947173508,0.08119389991789659,0.12821684166133887,0.0029053585303898148,0.0,0.0
177.9972,0.00020013851346457624,0.07013099865900886,0.08132343714456437,0.12842139956652274,0.0029099937565198915,0.0,0.0
178.29,0.00020216675773238895,0.07084172041647457,0.08214758534258967,0.12972284806349776,0.0029394842231665174,0.0,0.0
178.6543,0.00020027386092698687,0.07017842607585385,0.08137843366003503,0.12850824697160065,0.002911961694942925,0.0,0.0
179.0592,0.00020227025322290304,0.07087798651029534,0.08218963926250678,0.12978925724936888,0.0029409890371376534,0.0,0.0
179.3064,0.00020267324221171003,0.07101919881243739,0.08235338810391604,0.1300478402130205,0.002946848456302282,0.0,0.0
179.7101,0.00019871578842753116,0.06963245829344947,0.08074533306993503,0.12750849011549897,0.002889307478285001,0.0,0.0
180.1774,0.00020189691862775567,0.07074716547271291,0.08203794006200416,0.12954970240115166,0.00293556078985948,0.0,0.0
180.5681,0.00020224733132800723,0.07086995439617412,0.08218032527667504,0.1297745491266179,0.002940655755102728,0.0,0.0
180.8962,0.0001964773115058934,0.06884806842629186,0.07983575982446078,0.12607214318657584,0.0028567602501012924,0.0,0.0
181.384,0.00020043111770105658,0.07023353078518985,0.08144233271254736,0.12860915276263382,0.00291424819254297,0.0,0.0
181.8506,0.00019570167259664532,0.06857627500501225,0.07952058999037345,0.12557444470486148,0.0028454825387595156,0.0,0.0
182.297,0.0001953398918324628,0.06844950257201808,0.07937358552468216,0.12534230351789902,0.002840222283015753,0.0,0.0
182.8438,0.0002011809252904274,0.0704962725940221,0.0817470063573604,0.12909027625238956,0.002925150319104665,0.0,0.0
183.2631,0.000198647533580801,0.06960854095499401,0.08071759868417497,0.12746469353285952,0.00288831505971249,0.0,0.0
183.6243,0.0002021504894867915,0.07083601982296844,0.08214097497247451,0.12971240933867687,0.002939247684519864,0.0,0.0
184.0933,0.00020304505062308917,0.07114948505644136,0.08250446716136074,0.13028641576618788,0.0029522545130227264,0.0,0.0
184.5898,0.0002003758497034275,0.07021416419851688,0.08141987534812765,0.128573689355397,0.0029134446014437267,0.0,0.0
185.0357,0.00020349312329974353,0.07130649523774835,0.08268653511782403,0.13057392724634911,0.002958769444451764,0.0,0.0
185.4777,0.0002000331780546941,0.07009408783479364,0.08128063559959256,0.12835380977320007,0.002908462190307116,0.0,0.0
185.9069,0.00020235329761392315,0.07090708628711716,0.08222338316914636,0.12984254372949877,0.0029421964941892683,0.0,0.0
186.4914,0.00020675248758083886,0.07244861660194633,0.08401093141545023,0.13266533941599873,0.003006160271654496,0.0,0.0
187.0203,0.00020744028548045417,0.07268962945219981,0.08429040830517655,0.13310667360679726,0.0030161607835948543,0.0,0.0
187.6229,0.00021044391150194902,0.07374213698230546,0.08551088899995321,0.135033988099033,0.0030598332023520653,0.0,0.0
188.1595,0.00021129827608609163,0.07404151684911664,0.08585804789183417,0.13558220190224526,0.003072255577049511,0.0,0.0
