Temp,m2.0,m18.0,m26.0,m27.0,m28.0,m29.0,m31.0,m39.0,m41.0,m44.0,m45.0,m70.0
176.8481,0.0,0.0,0.008087663111462936,0.021677649401666006,0.0,0.016739223842926594,0.0008337403285452763,0.03647216687846575,0.03678714108640689,0.0,0.0,0.028372628384525957
176.8945,0.0,0.0,0.008098433824937242,0.021706518525822636,0.0,0.016761516238308263,0.0008348506589419527,0.03652073854296526,0.036836132216566474,0.0,0.0,0.02841041352055735
176.8788,0.0,0.0,0.008094789424041845,0.021696750309243788,0.0,0.016753973337284733,0.0008344749652516983,0.036504303734072124,0.03681955547640474,0.0,0.0,0.028397628463753637
176.7941,0.0,0.0,0.00807512822940233,0.021644051714069953,0.0,0.01671328010692209,0.0008324481336870763,0.036415639510298255,0.03673012554699707,0.0,0.0,0.028328654303799796
176.7974,0.0,0.0,0.008075894249972713,0.021646104906089748,0.0,0.016714865557455726,0.0008325271011506343,0.036419093960575216,0.03673360982996106,0.0,0.0,0.02833134160873311
176.8505,0.0,0.0,0.008088220217332307,0.021679142632225857,0.0,0.016740376897860152,0.000833797759427864,0.03647467920593991,0.036789675110380705,0.0,0.0,0.02837458278811382
176.9009,0.0,0.0,0.008099919440588873,0.02171050047398218,0.0,0.01676459105146436,0.0008350038079621842,0.03652743808289624,0.036842889613829886,0.0,0.0,0.028415625263458245
176.9665,0.0,0.0,0.008115147001018052,0.021751315442617377,0.0,0.01679610788631427,0.0008365735854195527,0.03659610836718859,0.03691215293577958,0.0,0.0,0.02846904562819223
176.9055,0.0,0.0,0.008100987226838477,0.021713362499221834,0.0,0.016766801073420292,0.0008351138838204749,0.0365322533772216,0.036847746493112926,0.0,0.0,0.028419371203668234
176.8099,0.0,0.0,0.008078795843042288,0.021653882148588807,0.0,0.016720871051901193,0.0008328262203307722,0.03643217899950284,0.03674680787149107,0.0,0.0,0.028341520794086354
176.8533,0.0,0.0,0.008088870174179889,0.02168088473454564,0.0,0.01674172212861593,0.0008338647621242147,0.03647761025465968,0.03679263147168342,0.0,0.0,0.02837686292563294
176.9335,0.0,0.0,0.008107486795314348,0.021730783522419788,0.0,0.016780253380978185,0.0008357839107839862,0.03656156386441957,0.036877310106140246,0.0,0.0,0.02844217257885958
176.881,0.0,0.0,0.008095300104422089,0.021698119103923615,0.0,0.01675503030430713,0.0008345276102274024,0.03650660670092338,0.03682187833171401,0.0,0.0,0.0283994200003758
176.8105,0.0,0.0,0.008078935119509629,0.021654255456228767,0.0,0.01672115931563458,0.000832840578051419,0.036432807081371366,0.036747441377484515,0.0,0.0,0.028342009394983315
176.8207,0.0,0.0,0.008081302819454409,0.021660601686108016,0.0,0.016726059799102095,0.0008330846593024121,0.036443484473136334,0.03675821097937303,0.0,0.0,0.02835031561023158
176.7429,0.0,0.0,0.008063243304189316,0.02161219612879371,0.0,0.016688681601673385,0.000831222941525228,0.03636204319085058,0.036676066368889995,0.0,0.0,0.02828696036059279
176.7739,0.0,0.0,0.008070439255001886,0.021631483690191446,0.0,0.016703575227898195,0.0008319647570919725,0.036394494087391184,0.03670879751188453,0.0,0.0,0.028312204740268923
176.8874,0.0,0.0,0.00809678572007372,0.02170210105208316,0.0,0.016758105117463225,0.0008346807592476339,0.03651330624085435,0.03682863572897741,0.0,0.0,0.028404631743276693
176.8942,0.0,0.0,0.008098364186703573,0.02170633187200266,0.0,0.01676137210644157,0.0008348434800816294,0.036520424502031,0.03683581546356976,0.0,0.0,0.028410169220108875
176.8326,0.0,0.0,0.008084065136056659,0.021668005620967164,0.0,0.01673177702981421,0.000833369420761905,0.03645594143019549,0.03677077551490967,0.0,0.0,0.028360006194687926
176.8189,0.0,0.0,0.008080884990052398,0.021659481763188174,0.0,0.016725195007901962,0.0008330415861404731,0.03644160022753079,0.036756310461392744,0.0,0.0,0.028348849807540745
176.8509,0.0,0.0,0.008088313068310529,0.021679391503985818,0.0,0.016740569073682397,0.0008338073312416281,0.036475097927185576,0.03679009744770965,0.0,0.0,0.028374908522045113
176.8443,0.0,0.0,0.008086781027169787,0.021675285119946295,0.0,0.016737398172615176,0.0008336493963145146,0.036468189026631764,0.03678312888178178,0.0,0.0,0.028369533912178578
176.9281,0.0,0.0,0.00810623330710829,0.02172742375366019,0.0,0.016777659007377738,0.0008356546912981663,0.03655591112760283,0.03687160855219927,0.0,0.0,0.02843777517078697
176.9268,0.0,0.0,0.008105931541429044,0.021726614920440264,0.0,0.016777034435955393,0.0008356235829034311,0.03655455028355432,0.03687023595588011,0.0,0.0,0.028436716535510203
176.8664,0.0,0.0,0.008091911043716815,0.021689035284684688,0.0,0.016748015886794802,0.0008341782390250004,0.036491323375455874,0.03680646301920692,0.0,0.0,0.02838753071188318
176.914,0.0,0.0,0.008102960310125792,0.021718651024121204,0.0,0.016770884809643217,0.0008353172848629691,0.0365411512036924,0.03685672116135334,0.0,0.0,0.02842629304970845
176.883,0.0,0.0,0.008095764359313227,0.02169936346272348,0.0,0.016755991183418417,0.0008345754692962251,0.03650870030715182,0.036823990018358836,0.0,0.0,0.02840104867003234
