Acetaldehyde	(E) 2-Butenal (Crotonaldehyde	CO	CO2	Ethylene (Ethene)	Ethanol	Crotyl Alcohol	H2	H2O
0.0	0.0	0.0	0.0	0.0007337184856651318	0.0	0.0	1.7903104006677162	0.0
0.0	0.0	0.0	0.0	0.0	0.0067803135110743274	0.0022596712066678807	0.0	0.8424408932142096
0.08115823593409295	0.04262294335557655	0.0	0.0	0.2571039888500969	0.10650654041364815	0.03264253075566542	0.0	0.0
0.0587069856196149	0.11424378214019436	0.0	0.0	0.2981360664565664	0.23858737804485786	0.12093253210726507	0.0	0.0
0.4629053400988497	0.0	0.93649321850064	0.0840762229207563	0.47079971358747685	0.0361739483522364	0.04117564954474074	0.0	0.0
0.758412337481304	0.08821769401622861	0.011071659108526042	0.0008442820895399548	0.010668192620040973	0.30832202197890274	0.20834855097391813	0.0	0.0
0.0	0.004393910367814157	0.0	0.0	0.0	1.0031061242010935	0.08077049772547397	0.0	0.0
0.0	0.1922126430702411	0.0	0.0	0.0	0.0	0.1315307451783267	0.0	0.0
0.0414134549719764	0.19387259448494765	0.0	0.0	0.0	0.012129685398772993	0.07669350299659607	0.0	0.0
0.7583364886626739	0.0	0.0	0.7028782839653716	0.0	0.006105968220085332	0.025747151109504065	0.0	0.0
0.0	0.0	0.0	0.008362417515675038	0.0	0.43898140716495127	0.007292697193738167	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0010277212927975875	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0	0.22303256548329814	0.0	0.0
0.0	0.14952711504123528	0.0	0.0	0.0	0.0	0.003191306627419857	0.0	0.0
