Temp,Acetaldehyde Concentration Relative to CO,(E) 2-Butenal (Crotonaldehyde Concentration Relative to CO,CO Concentration Relative to CO,CO2 Concentration Relative to CO,Ethylene (Ethene) Concentration Relative to CO,Ethanol Concentration Relative to CO,Crotyl Alcohol Concentration Relative to CO,H2 Concentration Relative to CO,H2O Concentration Relative to CO
176.8481,0.9123169985820463,0.18974905238224965,3.928194371079276,1.2641573718182149,0.27148182331670473,0.11168558287698176,0.03284355906792498,0.7062010912926935,0.23403035177349343
176.8945,0.9232303290960978,0.19000174993493732,3.927803891524738,1.2632390415693544,0.27145461193436615,0.1117903194977413,0.03275371436140353,0.7062207379992544,0.23419884851983794
176.8788,0.919537672004062,0.18991624666818743,3.927936014994702,1.2635497696923512,0.27146381923399376,0.11175488059804473,0.03278411440218773,0.7062140902989742,0.23414183561213098
176.7941,0.899616139794146,0.18945496471317347,3.9286488084918822,1.265226118228524,0.2715134917358052,0.11156369112006335,0.03294811971775597,0.7061782265910925,0.23383425642214412
176.7974,0.9003923033867469,0.18947293673739493,3.928621037316667,1.2651608059478916,0.27151155644352676,0.11157114006076393,0.03294172990026627,0.7061796238784125,0.23384624002694898
176.8505,0.9128814811948476,0.18976212294531974,3.928174173860937,1.2641098719777561,0.2714804158314117,0.1116910002884004,0.032838911927932465,0.7062021075016536,0.23403906712244235
176.9009,0.9247356160635549,0.1900366047697909,3.9277500322758363,1.2631123753281333,0.27145085864025054,0.11180476592819094,0.03274132198809022,0.7062234478898145,0.23422208945036826
176.9665,0.9401648074799619,0.19039386682703885,3.927197974974596,1.2618140463556113,0.2714123873755653,0.11195284184029926,0.032614300161628904,0.7062512242680559,0.23446030898830356
176.9055,0.9258175410714126,0.1900616566823417,3.927711320940688,1.2630213339672531,0.27144816096010416,0.11181514930007656,0.03273241496977134,0.7062253956236546,0.23423879386918678
176.8099,0.9033323169950539,0.18954101258671804,3.9285158434711573,1.2649134109455062,0.27150422579095734,0.1115993557452358,0.03291752604613875,0.7061849166334128,0.23389163246939076
176.8533,0.9135400442431038,0.18977737193556804,3.928150610439544,1.264054455497221,0.2714787737652355,0.11169732060172208,0.03283349026460796,0.7062032930787736,0.23404923502954925
176.9335,0.9324031715540256,0.1902141465848258,3.9274756867267455,1.2624671691619098,0.271431740298349,0.11187835243329357,0.03267819833652559,0.7062372513948552,0.23434047294025684
176.881,0.9200551143991169,0.18992822801766837,3.9279175008778915,1.2635062281719358,0.2714625290391421,0.11175984655851173,0.032779854523861306,0.7062150218238541,0.23414982468200063
176.8105,0.9034734376482453,0.18954428022748546,3.928510794166574,1.2649015359853952,0.2715038739196347,0.11160071009809044,0.032916364261140606,0.7061851706856528,0.23389381130662804
176.8207,0.9058724887526329,0.18959983012053314,3.928424955988636,1.2646996616634447,0.27149789210713704,0.11162373409661945,0.032896613916172594,0.706189489573733,0.23393085153966067
176.7429,0.8875738440545016,0.18917612603434567,3.929079682483097,1.266239448158301,0.271543518088731,0.11144811967646662,0.03304725870426239,0.7061565474666114,0.23364832897790197
176.7739,0.8948650778031174,0.1893449541406672,3.9288188017462287,1.2656259085523793,0.2715253380703582,0.1115180945739568,0.032987233146026036,0.7061696734990122,0.23376090223515805
176.8874,0.921560401366584,0.18996308285252192,3.9278636416289903,1.2633795619307087,0.2714587757450253,0.1117742929889614,0.03276746215054794,0.7062177317144144,0.2341730656125309
176.8942,0.9231597687694962,0.19000011611455372,3.9278064161770323,1.2632449790494138,0.271454787870028,0.11178964232131403,0.03275429525390257,0.7062206109731345,0.23419775910121934
176.8326,0.9086713817077468,0.18966463832908906,3.9283248114477094,1.2644641416211722,0.2714909133258912,0.11165059542823672,0.03287357184704309,0.7061945282764933,0.23397406514486546
176.8189,0.90544912679304,0.1895900271982308,3.9284401039023895,1.264735286543787,0.27149894772110705,0.11161967103805559,0.0329000992711669,0.706188727417013,0.23392431502794916
176.8509,0.9129755616303122,0.189764301372498,3.928170807657881,1.2641019553376767,0.27148018125052903,0.11169190319030346,0.03283813740460041,0.7062022768698136,0.2340405196806005
176.8443,0.911423234445126,0.1897283573240555,3.9282263500083103,1.2642325798989382,0.2714840518350855,0.11167700530890237,0.03285091703957975,0.7061994822951734,0.23401655247099104
176.9281,0.9311330856752323,0.1901847378179181,3.9275211304680053,1.2625740438029431,0.2714349071402592,0.11186616325760167,0.0326886544015087,0.7062349649246951,0.2343208634051219
176.9268,0.9308273242599684,0.19017765792958846,3.9275320706279393,1.2625997728831893,0.2714356695281264,0.11186322882641657,0.032691171602338004,0.706234414478175,0.23431614259110795
176.8664,0.9166211785046199,0.1898487154256588,3.928040367289447,1.2637951855347171,0.27147109124134233,0.1117268906390486,0.032808124625482236,0.7062088398860139,0.23409680630922844
176.914,0.9278167503250632,0.1901079482598814,3.9276397891257404,1.2628531053656287,0.2714431761163574,0.11183433596551742,0.03271595634896462,0.7062289946970548,0.23426966073004732
176.883,0.9205255165764551,0.18993912015356007,3.9279006698626087,1.2634666449715486,0.27146135613473005,0.11176436106802726,0.032775981907200845,0.7062158686646542,0.23415708747279138
176.9234,0.9300276405585121,0.1901591412985726,3.927560683353918,1.2626670643238356,0.2714376634656247,0.11185555416024026,0.03269775505066065,0.706232974848815,0.23430379584676367
176.8343,0.909071223558475,0.18967389664459697,3.9283105050847205,1.2644304959008488,0.27148991635714215,0.11165443276132486,0.032870280122881734,0.7061952480911733,0.23398023851703756
176.8869,0.9214428008222485,0.18996035981854884,3.92786784938281,1.2633894577308038,0.2714590689711281,0.11177316436158247,0.03276843030471307,0.7062175200042142,0.23417124991483323
