Time,Crotyl Alcohol Concentration Relative to CO,(E) 2-Butenal (Crotonaldehyde Concentration Relative to CO,Ethanol Concentration Relative to CO,H2O Concentration Relative to CO,Acetaldehyde Concentration Relative to CO,Ethylene (Ethene) Concentration Relative to CO,CO Concentration Relative to CO,CO2 Concentration Relative to CO,H2 Concentration Relative to CO
176.8481,0.032843559067925104,0.1897490523822492,0.11168558287698173,0.23403035177349324,0.9123169985820594,0.2714818233167019,3.9281943710792704,1.2641573718182095,0.7062010912926925
176.8945,0.03275371436140365,0.19000174993493704,0.1117903194977413,0.2341988485198377,0.9232303290960996,0.2714546119343645,3.9278038915247344,1.2632390415693557,0.7062207379992534
176.8788,0.03278411440218778,0.1899162466681872,0.11175488059804467,0.2341418356121308,0.9195376720040741,0.27146381923399104,3.927936014994696,1.2635497696923492,0.7062140902989732
176.7941,0.03294811971775609,0.18945496471317305,0.1115636911200633,0.2338342564221441,0.8996161397941491,0.2715134917358034,3.9286488084918783,1.2652261182285247,0.7061782265910914
176.7974,0.032941729900266316,0.18947293673739468,0.11157114006076392,0.2338462400269488,0.900392303386749,0.2715115564435251,3.9286210373166632,1.265160805947893,0.7061796238784115
176.8505,0.03283891192793253,0.1897621229453195,0.11169100028840036,0.23403906712244216,0.9128814811948592,0.27148041583140825,3.9281741738609317,1.2641098719777522,0.7062021075016526
176.9009,0.03274132198809028,0.19003660476979065,0.1118047659281909,0.23422208945036804,0.9247356160635666,0.27145085864024776,3.9277500322758314,1.263112375328129,0.7062234478898135
176.9665,0.03261430016162896,0.1903938668270386,0.11195284184029924,0.23446030898830336,0.9401648074799734,0.2714123873755627,3.9271979749745913,1.261814046355607,0.706251224268055
176.9055,0.0327324149697714,0.19006165668234146,0.11181514930007654,0.23423879386918656,0.9258175410714145,0.2714481609601026,3.9277113209406846,1.2630213339672547,0.7062253956236536
176.8099,0.03291752604613881,0.18954101258671768,0.11159935574523576,0.2338916324693907,0.9033323169950566,0.2715042257909556,3.928515843471154,1.2649134109455071,0.7061849166334118
176.8533,0.032833490264608016,0.18977737193556785,0.11169732060172204,0.23404923502954905,0.9135400442431152,0.27147877376523283,3.928150610439538,1.2640544554972166,0.7062032930787726
176.9335,0.03267819833652565,0.1902141465848254,0.11187835243329353,0.23434047294025664,0.9324031715540384,0.27143174029834616,3.92747568672674,1.262467169161905,0.7062372513948542
176.88099999999997,0.03277985452386137,0.18992822801766795,0.11175984655851168,0.2341498246820005,0.9200551143991296,0.2714625290391393,3.9279175008778857,1.2635062281719307,0.7062150218238531
176.8105,0.03291636426114073,0.1895442802274852,0.1116007100980904,0.23389381130662784,0.9034734376482568,0.27150387391963204,3.9285107941665687,1.2649015359853908,0.7061851706856519
176.8207,0.03289661391617265,0.1895998301205329,0.11162373409661944,0.2339308515396605,0.9058724887526352,0.27149789210713543,3.928424955988632,1.2646996616634458,0.706189489573732
176.7429,0.033047258704262436,0.18917612603434544,0.1114481196764666,0.2336483289779017,0.8875738440545131,0.2715435180887283,3.9290796824830916,1.2662394481582968,0.7061565474666104
176.7739,0.032987233146026154,0.18934495414066693,0.11151809457395677,0.23376090223515786,0.894865077803129,0.2715253380703556,3.928818801746223,1.2656259085523776,0.706169673499011
176.8874,0.032767462150548064,0.1899630828525215,0.11177429298896133,0.2341730656125308,0.9215604013665872,0.27145877574502353,3.9278636416289863,1.2633795619307093,0.7062177317144134
176.8942,0.03275429525390263,0.1900001161145533,0.11178964232131404,0.23419775910121915,0.9231597687695092,0.2714547878700253,3.927806416177026,1.2632449790494111,0.7062206109731335
176.8326,0.032873571847043155,0.18966463832908867,0.11165059542823667,0.2339740651448653,0.9086713817077592,0.2714909133258885,3.9283248114477045,1.26446414162117,0.7061945282764923
176.8189,0.03290009927116696,0.18959002719823054,0.11161967103805552,0.2339243150279489,0.905449126793042,0.27149894772110544,3.928440103902386,1.2647352865437884,0.706188727417012
176.8509,0.03283813740460047,0.18976430137249767,0.1116919031903034,0.2340405196806003,0.912975561630314,0.27148018125052736,3.9281708076578776,1.2641019553376807,0.7062022768698127
176.8443,0.032850917039579805,0.18972835732405507,0.11167700530890234,0.23401655247099096,0.9114232344451292,0.27148405183508384,3.9282263500083068,1.264232579898939,0.7061994822951724
176.9281,0.03268865440150876,0.19018473781791784,0.11186616325760168,0.2343208634051217,0.9311330856752442,0.2714349071402564,3.9275211304680018,1.2625740438029387,0.7062349649246942
176.9268,0.03269117160233806,0.19017765792958805,0.11186322882641653,0.2343161425911077,0.9308273242599812,0.27143566952812365,3.9275320706279335,1.2625997728831841,0.7062344144781741
176.8664,0.032808124625482354,0.1898487154256585,0.11172689063904853,0.23409680630922824,0.916621178504622,0.2714710912413406,3.9280403672894435,1.2637951855347185,0.7062088398860129
176.91400000000004,0.03271595634896468,0.19010794825988114,0.11183433596551738,0.2342696607300471,0.9278167503250648,0.27144317611635504,3.927639789125737,1.26285310536563,0.7062289946970538
176.88299999999995,0.03277598190720092,0.18993912015355974,0.11176436106802724,0.2341570874727912,0.9205255165764672,0.2714613561347273,3.9279006698626033,1.2634666449715464,0.7062158686646532
176.9234,0.032697755050660776,0.1901591412985721,0.11185555416024022,0.23430379584676345,0.9300276405585154,0.2714376634656229,3.927560683353914,1.262667064323836,0.7062329748488141
176.8343,0.03287028012288186,0.18967389664459666,0.11165443276132482,0.2339802385170373,0.9090712235584868,0.27148991635713937,3.9283105050847156,1.2644304959008443,0.7061952480911723
