Acetaldehyde,(E) 2-Butenal (Crotonaldehyde,CO,CO2,Ethylene (Ethene),Ethanol,Crotyl Alcohol,H2,H2O
0.0,0.0,0.0,0.0,0.0007011844058963374,0.0,0.0,1.790512092876098,0.0
0.0,0.0,0.0,0.0,0.0,0.0033888557213948827,0.0028181192637719565,0.0,0.8425265747343595
0.047503406907575485,0.05773114789985377,0.0,0.0,0.25806785426301193,0.052670346834720584,0.04027954305491052,0.0,0.0
0.034252018511196296,0.1542423230078332,0.0,0.0,0.2982935361135933,0.11760928068751873,0.14874695652823783,0.0,0.0
0.26909539243308295,0.0,0.9360303840985049,0.09274507768066387,0.46933527587807017,0.017766739135658058,0.050461840135270906,0.0,0.0
0.4390849647495049,0.11818802482004283,0.011021155277959074,0.0009275436545194935,0.010591731483755976,0.15081532109493734,0.25429757278921056,0.0,0.0
0.0,0.005831120420100478,0.0,0.0,0.0,0.48603869142727557,0.09765343695863432,0.0,0.0
0.0,0.24102903172084894,0.0,0.0,0.0,0.0,0.1502618194481054,0.0,0.0
0.022013538153382084,0.23847310472891367,0.0,0.0,0.0,0.005447480255512839,0.08594399066437104,0.0,0.0
0.3899532828751661,0.0,0.0,0.6858582368157414,0.0,0.002652790220890507,0.02791183333083093,0.0,0.0
0.0,0.0,0.0,0.008060504085842015,0.0,0.1883955398846409,0.007809504596513932,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0009163821225221148,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.19454907497841334,0.0,0.0
0.0,0.0941559760718722,0.0,0.0,0.0,0.0,0.0018307558348930558,0.0,0.0
