Mass,Acetaldehyde,(E) 2-Butenal (Crotonaldehyde,Ethylene (Ethene),Ethanol,Crotyl Alcohol
2.0,0.0,0.0,0.00789863246507453,0.0,0.0
12.0,0.0,0.0,0.019021509814097084,0.007952276690112017,0.01340966977547911
13.0,0.0,0.0,0.031737386223563174,0.051230660257549236,0.024860035520739912
14.0,0.0,0.0,0.068716418715153,0.04959018519903107,0.09654482492753506
15.0,0.0,0.0,0.009124496175517237,0.2110776370537051,0.23983022504073467
16.0,0.0,0.0,0.0,0.0,0.019977528803919193
17.0,0.0,0.0,0.0,0.019376821112096914,0.021091484932649066
18.0,0.0,0.0,0.0,0.014283423713008052,0.02140949373755194
19.0,0.0,0.0,0.0,0.06827977954162255,0.021398275726224658
24.0,0.0,0.0,0.043246044076956834,0.011987673093387493,0.007364090940454741
25.0,0.0,0.10812241527463988,0.14260965154436944,0.046948259597414194,0.04815358126632002
26.0,0.18466715661710315,0.3793931344814091,0.9423995662684753,0.18322800333848477,0.2525678079241841
27.0,0.13262535516626414,1.0096208662782449,1.084976907568135,0.40751420352352946,0.9290028235311425
28.0,1.0402936618940801,0.0,1.7043906808584148,0.06146362680270647,0.3146598489340498
29.0,1.6975854566071822,0.7724509736676544,0.03846682170230478,0.5217822599577492,1.5858198522358378
30.0,0.0,0.03890037360122926,0.001642388620965851,0.13938577754467943,0.07976239847021813
31.0,0.0,0.03821232640840146,0.0,1.6860432375610566,0.6105949200260363
32.0,0.0,0.0,0.0,0.0,0.02606503422577227
33.0,0.0,0.018421015517349235,0.0,0.005039807149509727,0.0
34.0,0.0,0.0,0.0,0.0,0.0051788240441652
36.0,0.0,0.06932494413598833,0.0,0.0,0.02063406435569911
37.0,0.0,0.3050270613572275,0.0,0.0,0.12721679960081045
38.0,0.0,0.480006217759117,0.0,0.0,0.22041811681325849
39.0,0.0,1.5668017670752163,0.0,0.0,0.9319820006343784
40.0,0.0,0.4253174645472248,0.0,0.0,0.12589803357395227
41.0,0.0838510444835814,1.5355798421086637,0.0,0.018568424556584213,0.5280349843399552
42.0,0.0,0.44921424623117384,0.0,0.06263964156526905,0.1342005513229828
43.0,0.0,0.058438176119782755,0.0,0.14750316606215388,0.33112445777990285
44.0,1.469127140282828,0.0,0.0,0.008943561042242271,0.08480739514087807
45.0,0.0,0.0,0.0,0.6349658779755512,0.02372143998090324
46.0,0.0,0.0,0.0,0.2618874930882191,0.0
47.0,0.0,0.0,0.0,0.008710358346071543,0.0
48.0,0.0,0.013384678102122684,0.0,0.0,0.003393651604360641
49.0,0.0,0.05328285041414101,0.0,0.0,0.01674032164582844
50.0,0.0,0.06667002423913972,0.0,0.0,0.04924213834281905
51.0,0.0,0.053713922785335926,0.0,0.0,0.04426184937081316
52.0,0.0,0.027211456200696496,0.0,0.0,0.015973602895449933
53.0,0.0,0.04159472374592673,0.0,0.0,0.10316971971109468
54.0,0.0,0.014202877839860701,0.0,0.0,0.07147408790547485
55.0,0.0,0.07307245504877208,0.0,0.0,0.07008166957001008
56.0,0.0,0.0,0.0,0.0,0.003826792215722244
57.0,0.0,0.0,0.0,0.0,1.722901838851907
58.0,0.0,0.0,0.0,0.0,0.028963479255278642
73.0,0.0,0.0,0.0,0.0,0.014899182304501851
