Acetaldehyde,(E) 2-Butenal (Crotonaldehyde,CO,CO2,Ethylene (Ethene),Ethanol,Crotyl Alcohol,H2,H2O,1butanal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8066221538435394,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8328844023482189,0.0
0.04428287330827706,0.0723013097831659,0.0,0.0,0.2553191538277902,0.0492805248042978,0.04169832771705177,0.0,0.0,0.0
0.03214838152589524,0.19449186401475838,0.0,0.0,0.29713597583059786,0.11079308336800787,0.15504012178858387,0.0,0.0,0.164273025237745
0.25448419983662585,0.0,0.960917069433809,0.08441220475671928,0.47105998136350574,0.0,0.052995709874491224,0.0,0.0,0.04182374537418039
0.41870488795727384,0.15141115660068905,0.0,0.0,0.0,0.14434543022539498,0.2692928039572601,0.0,0.0,0.15222586342120722
0.0,0.0,0.0,0.0,0.0,0.47405027444588965,0.1053819061154283,0.0,0.0,0.0
0.0,0.35041306024934343,0.0,0.0,0.0,0.0,0.1805750328910535,0.0,0.0,0.07504149073353253
0.0,0.35925676587152044,0.0,0.0,0.0,0.0,0.10702351159925387,0.0,0.0,0.20461002973620304
0.4645929101784081,0.0,0.0,0.7864193094580167,0.0,0.0,0.03692933005083879,0.0,0.0,0.361591613777739
0.0,0.0,0.0,0.0,0.0,0.23034950568207477,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.3784103817519807,0.0,0.0,0.13770880839572927
0.0,0.44817893716088086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
