Acetaldehyde,(E) 2-Butenal (Crotonaldehyde,CO,CO2,Ethylene (Ethene),Ethanol,Crotyl Alcohol,H2,H2O,1butanal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7011236105734397,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7723149525379231,0.0
0.04428287330827706,0.0723013097831659,0.0,0.0,0.1555878648100172,0.034193244739827315,0.13958411950325555,0.0,0.0,0.0
0.03214838152589524,0.19449186401475838,0.0,0.0,0.18107044201198358,0.07687367433944202,0.5189929686002068,0.0,0.0,0.43263200142915786
0.25448419983662585,0.0,0.47105998136350574,0.055937677937270155,0.28705725990000913,0.0,0.17740182653070347,0.0,0.0,0.11014766814154717
0.41870488795727384,0.15141115660068905,0.0,0.0,0.0,0.10015393793740919,0.9014509930470334,0.0,0.0,0.4009044081697862
0.0,0.0,0.0,0.0,0.0,0.3289193270055635,0.3527633212657964,0.0,0.0,0.0
0.4645929101784081,0.0,0.0,0.5211387403385085,0.0,0.0,0.12362001790502279,0.0,0.0,0.9522933137820969
0.0,0.0,0.0,0.0,0.0,0.15982778297844985,0.0,0.0,0.0,0.0
0.0,0.44817893716088086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
