Temp,Acetaldehyde Concentration Relative to CO,(E) 2-Butenal (Crotonaldehyde Concentration Relative to CO,Ethylene (Ethene) Concentration Relative to CO,Ethanol Concentration Relative to CO,Crotyl Alcohol Concentration Relative to CO
176.8481,9.73963847121796,5.2316966092976465,4.842257275854284,4.458734650066131,-18.304912555519234
176.8945,10.11164060369474,5.480762522583342,4.936353313142472,4.583426461293621,-18.98056464178421
176.8788,10.043861317635127,5.413524032056038,5.059035337486958,4.614794758416276,-18.94478537670035
176.7941,10.13173011010014,5.528468353795051,4.98490039443242,4.604644832533825,-19.093767174045944
176.7974,10.105884599239692,5.408816035637832,5.0509346446686685,4.618822972502922,-18.987081570331753
176.8505,10.18937393296411,5.53600027211816,5.049039501207806,4.6128873584550005,-19.184830872892064
176.9009,10.158556067708853,5.424330674306479,5.0894896903022415,4.640456399150584,-19.085228808909584
176.9665,10.246536200569576,5.562702119236507,5.091185138818875,4.660117764364509,-19.33435799961804
176.9055,10.208365611431436,5.449338316032448,5.054104788218041,4.681007822749044,-19.19060776711947
176.8099,10.143114800098617,5.533267876045266,5.073425838147126,4.601506410820534,-19.13121502382717
176.8533,10.227122028432541,5.454363680624013,5.085019878881853,4.672645515961621,-19.2236890044188
176.9335,10.284768413042237,5.593982918959331,5.134270570428952,4.683100667267037,-19.40227715638353
176.881,10.283506229545216,5.5145442102295625,5.066361450663512,4.685041348669107,-19.301538738424153
176.8105,10.251658417416749,5.5623441993762155,5.162175357380509,4.6840508475868265,-19.336400241779142
176.8207,10.292917287995534,5.507002596376061,5.079238252031494,4.67250028005923,-19.281365622797857
176.7429,10.177417473369479,5.529602571029096,5.175672320340396,4.679459787055359,-19.303011719621423
176.7739,10.353896195705119,5.675495739411907,5.1345538676679086,4.703768923416098,-19.55834500046255
176.8874,10.145214110063408,5.472017075502695,5.1171783606362595,4.666718996221864,-19.145487466820928
176.8942,10.394218203913876,5.625332202448725,5.11064992479009,4.7294574334006505,-19.52620644434007
176.8326,10.2718689991073,5.558932559306468,5.187782876409582,4.730845748839313,-19.438972604946382
176.8189,10.46944419643003,5.676691221548188,5.182181337090059,4.762604787933847,-19.700140446011147
176.8509,10.299291545743621,5.528692884149472,5.184969022109381,4.735216952218927,-19.424789804629587
176.8443,10.51548500335365,5.741575762398319,5.155903037943593,4.776602770606915,-19.831851467348148
176.9281,10.211237306942534,5.488081185567529,5.163011935329983,4.713219485030495,-19.29246320099324
176.9268,10.486867120393464,5.730231348503364,5.225114846430991,4.7780184241978265,-19.810615235535145
176.8664,10.169523287774275,5.476636968344026,5.145268675035229,4.693098328263734,-19.212894898285104
176.914,10.366142524776324,5.648357565948441,5.20223850122543,4.704432519485184,-19.55455070663047
176.883,10.265562395764753,5.512873975577937,5.113641883330744,4.719954362393013,-19.354315011688577
176.9234,10.415691248605631,5.687504003641564,5.206292360814638,4.73202468600555,-19.65395055323295
176.8343,10.495978553833742,5.6047097841699705,5.200680513488342,4.788743797001982,-19.69614797698201
176.8869,10.259854293695302,5.580373833776001,5.179315164964243,4.663847203467813,-19.365465989246395
176.8666,10.327425830637448,5.569065581344517,5.120510010624594,4.734443901597061,-19.4597508706169
176.8004,10.440514024079178,5.667596734459336,5.268123121681277,4.761587187529835,-19.736227819703505
176.889,10.34860186275054,5.581267405403422,5.124084295918431,4.733371057429003,-19.44961897882178
177.0114,10.185618635727494,5.536794672467725,5.214479512091703,4.667932634134013,-19.28515621817553
176.8458,10.555583170045265,5.723023208078464,5.220266744620326,4.80773599152959,-19.909876437764577
176.9231,10.275325155664499,5.541105634504714,5.2233184588037345,4.708659982872684,-19.411916333002065
176.9848,10.541880963002242,5.714955496746979,5.190872976302703,4.815301748036468,-19.875820578355086
177.0193,10.311978769917161,5.586054175032803,5.277529797659814,4.744527419607011,-19.538597704334116
177.032,10.402857139103217,5.681687075541712,5.149426479521703,4.748931528023315,-19.65371324831215
176.9611,10.276571583828428,5.563993454801042,5.214386815824193,4.763604942081527,-19.46158454830803
176.8494,10.520555154082842,5.7603117054392605,5.239370764980721,4.791818298548608,-19.885023198407282
176.9185,10.333114616482343,5.564171563606303,5.226011985657411,4.764013941597096,-19.51287236030618
176.8734,10.562169276679366,5.8130943340240115,5.2293073985213665,4.809651464798039,-19.974338792312487
176.9646,10.414068960690496,5.611217611244964,5.2351938626004815,4.799805028395775,-19.71443305901883
176.9394,10.477811846065006,5.739597238223167,5.266384592051881,4.75977851098031,-19.839379328968626
176.8496,10.417744365652798,5.582572084240707,5.250411117776554,4.789800337197821,-19.642343929507877
176.9133,10.482812364685204,5.74459093307646,5.296619566283313,4.786736402002093,-19.859125260493947
176.7969,10.47032001401244,5.612879964751556,5.230254419134529,4.812954102384339,-19.706122655075642
176.792,10.501980911749284,5.785702005325797,5.329968541863734,4.806992138834725,-19.938063709448105
176.7845,10.415881373891219,5.554464596018684,5.214654237559602,4.777549165823351,-19.588365179421316
176.8007,10.345217951211804,5.665524181865111,5.2450296552522255,4.713349083823056,-19.572633693450868
176.9141,10.561012423127606,5.645697675948664,5.237964630075541,4.827968979657748,-19.876464266175343
176.8142,10.513940665753712,5.781168213950454,5.347554726385193,4.831405517203536,-20.004232839676295
176.7997,10.535264208805787,5.661717632016297,5.1997528791125065,4.811963052372439,-19.79672858089179
176.7839,10.4228697828918,5.699256559007158,5.345259181359923,4.79786860749206,-19.80670961924094
176.8388,10.567752613857701,5.6856703929206445,5.220562678642684,4.83853595515181,-19.885309279955766
176.9101,10.492486384961719,5.755280891514967,5.369564538237189,4.84602160177249,-19.9809452995401
177.0272,10.729968482812714,5.786382779869494,5.288986067805363,4.913838171366858,-20.21545445141579
177.0201,10.438115172258879,5.716558155409807,5.329258082641102,4.820521147751182,-19.85268868184492
176.969,10.524155658394156,5.731951356389946,5.260466153049426,4.824730039446065,-19.92850088082192
177.0026,10.355588807296767,5.594055850726479,5.252905380049351,4.789152477703302,-19.623344850411044
176.9059,10.589586353493505,5.7749910175960455,5.244311738029095,4.8261762762244365,-20.00207865687299
