Source:,Measured, Measured, Measured, Measured, Measured, Measured, Measured, Measured, Measured
Molecules,Acetaldehyde, (E) 2-Butenal (Crotonaldehyde, CO, CO2, Ethylene (Ethene), Ethanol, Crotyl Alcohol, H2, H2O
Electron Numbers,24, 38, 14, 22, 16, 26, 40, 2, 10
ionizationEfficiencies,1.4285714285714284, 2.0285714285714285, 1.0, 1.342857142857143, 1.0857142857142859, 1.5142857142857142, 2.1142857142857143, 0.48571428571428577, 0.8285714285714285
ionizationEfficienciesSources,MadixAndKo, MadixAndKo, MadixAndKo, MadixAndKo, MadixAndKo, MadixAndKo, MadixAndKo, MadixAndKo, MadixAndKo
Molecular Mass,44.0526, 70.0898, 28.01, 44.01, 28.0532, 46.0684, 72.1057, 2.01588, 18.0
2.700000000000000000e+01,7.740774077407741594e+00,5.892724675382846300e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.332545620828447142e+01,2.378485907808375188e+01,5.422191680627965837e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.800000000000000000e+01,6.103610361036103882e+01,0.000000000000000000e+00,1.000000000000000000e+02,1.196170444282760847e+01,1.000000000000000000e+02,3.606193550163649508e+00,1.846172080544183913e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.900000000000000000e+01,1.000000000000000000e+02,4.550292126155967054e+01,1.182246586499811958e+00,1.201178225021886925e-01,2.265972623209502768e+00,3.073673009667450984e+01,9.341620158582645672e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+01,0.000000000000000000e+00,2.299359634594345447e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.707984139377554000e-02,8.238944792876100820e+00,4.714670385454954094e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.100000000000000000e+01,0.000000000000000000e+00,2.266390656960698635e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,3.621466558053941043e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.551912418680352790e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.300000000000000000e+01,0.000000000000000000e+00,1.101958146004232697e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.014848197409141228e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.116136387645673800e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.600000000000000000e+01,0.000000000000000000e+00,4.237727434232961166e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.261328684641254139e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.700000000000000000e+01,0.000000000000000000e+00,1.883539726197334474e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.855627458810516828e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.800000000000000000e+01,0.000000000000000000e+00,2.998505241177036851e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.376908994221824578e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.900000000000000000e+01,0.000000000000000000e+00,9.914379264427937244e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.897378478936810353e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+01,0.000000000000000000e+00,2.729191995667869008e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.078669091713344130e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.100000000000000000e+01,5.460546054605460498e+00,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.209212575432481840e+00,3.438668376988171360e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.200000000000000000e+01,0.000000000000000000e+00,2.969896305621298538e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.141303211795263728e+00,8.872419450859558410e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.300000000000000000e+01,0.000000000000000000e+00,3.921632500650078068e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.898550029906010295e+00,4.444178520315630720e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.400000000000000000e+01,9.998999899989999562e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,0.000000000000000000e+00,6.087061052436824049e-01,1.154412184324362833e+01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.189739063852914169e+00,0.000000000000000000e+00,4.376220985736383540e+01,3.269790300773043334e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.933570928425014768e-01,0.000000000000000000e+00,1.823431239739768017e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.107277440983019945e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.800000000000000000e+01,0.000000000000000000e+00,9.412805479404549036e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.773186499688274465e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.900000000000000000e+01,0.000000000000000000e+00,3.740747307270110067e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.350524140711769405e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+01,0.000000000000000000e+00,4.648351854045197129e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.866497730433302138e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.100000000000000000e+01,0.000000000000000000e+00,3.698924717987872146e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.096045128871148577e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.200000000000000000e+01,0.000000000000000000e+00,1.840738506598672330e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.161091690346078842e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.300000000000000000e+01,0.000000000000000000e+00,2.749753775765938713e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.364073616899919195e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.400000000000000000e+01,0.000000000000000000e+00,9.133771951326637994e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.192897758407555742e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000000e+01,0.000000000000000000e+00,4.553735319766106571e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.734710604047105420e+00,0.000000000000000000e+00,0.000000000000000000e+00
