Source:,Measured-TuningCorrected, Measured-TuningCorrected, Measured-TuningCorrected, Measured-TuningCorrected, Measured-TuningCorrected, Measured-TuningCorrected, Measured-TuningCorrected, Measured-TuningCorrected, Measured-TuningCorrected, NISTFake-TuningCorrected-TuningCorrected
Molecules,Acetaldehyde, (E) 2-Butenal (Crotonaldehyde, CO, CO2, Ethylene (Ethene), Ethanol, Crotyl Alcohol, H2, H2O, 1butanal
Electron Numbers,24, 38, 14, 22, 16, 26, 40, 2, 10, 40
ionizationEfficiencies,1.4285714285714284, 2.0285714285714285, 1.0, 1.342857142857143, 1.0857142857142859, 1.5142857142857142, 2.1142857142857143, 0.48571428571428577, 0.8285714285714285, 2.1142857142857143
ionizationEfficienciesSources,MadixAndKo, MadixAndKo, MadixAndKo, MadixAndKo, MadixAndKo, MadixAndKo, MadixAndKo, MadixAndKo, MadixAndKo, MadixAndKo
Molecular Mass,44.0526, 70.0898, 28.01, 44.01, 28.0532, 46.0684, 72.1057, 2.01588, 18.0, 72.11
1.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.632816508379327658e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.160842724146211324e+01,0.000000000000000000e+00
1.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,0.000000000000000000e+00
1.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e+01,0.000000000000000000e+00,6.747186064084735868e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.271632447221378470e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.600000000000000000e+01,1.082746172121316164e+01,2.383181352674924725e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.502221421144838587e+01,1.084445848266647516e+01,1.585231834913396121e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.700000000000000000e+01,7.804007924684535524e+00,6.364731526799692318e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.357372041764408266e+01,2.420543649564893585e+01,5.851752796733845940e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.686309455032848348e+01
2.800000000000000000e+01,6.129440174879008651e+01,0.000000000000000000e+00,1.000000000000000000e+02,1.333015070915506328e+01,1.000000000000000000e+02,0.000000000000000000e+00,1.984650251358927875e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.436443527043708102e+01
2.900000000000000000e+01,1.000000000000000000e+02,4.874947115062222736e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.102677884754064053e+01,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,5.184251509578991346e+01
3.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.279044501924291311e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
