Acetaldehyde,(E) 2-Butenal (Crotonaldehyde,Ethylene (Ethene),Ethanol,Crotyl Alcohol
0.0,0.0,0.14939946812745006,0.0,0.0
0.0,0.0,0.0,0.6972399072681534,1.1081974683682572
10.81872774547766,23.95194781627629,54.985820910264586,10.836657196992205,15.839531071064759
7.8007723472692465,63.9932550475791,63.55659833059038,24.197514058428872,58.493266332327714
61.28549461642351,0.0,100.0,3.6554166260890035,19.843618474919218
100.00000000000001,49.034767295967846,2.256751628979968,31.029488753675356,100.00000000000001
0.0,2.4192606087609683,0.0,100.0,38.401246180819875
0.0,100.0,0.0,0.0,59.08897116082927
5.013503062201336,98.93957712326726,0.0,1.1207914825702572,33.79662248511149
88.81043856685731,0.0,0.0,0.5457981571591479,5.488025903017033
0.0,0.0,0.0,38.76142850508639,1.5355051388923993
0.0,0.0,0.0,0.0,0.18017909342801944
0.0,0.0,0.0,0.0,76.50449543994537
