Mass,Acetaldehyde,(E) 2-Butenal (Crotonaldehyde,Ethylene (Ethene),Ethanol,Crotyl Alcohol
2.0,0.0,0.0,0.14939946812745006,0.0,0.0
12.0,0.0,0.0,0.6576295973352208,0.2786863503616544,0.49831405636192727
13.0,0.0,0.0,1.1661885586174527,1.9081627911137153,0.9818565772111092
14.0,0.0,0.0,2.679845556541173,1.9603464435128948,4.046941599820499
15.0,0.0,0.0,0.37690379163774146,8.837952991582181,10.648151399734495
16.0,0.0,0.0,0.0,0.0,0.9369353685168793
17.0,0.0,0.0,0.0,0.9022021140114551,1.0413322210376472
18.0,0.0,0.0,0.0,0.6972399072681534,1.1081974683682572
19.0,0.0,0.0,0.0,3.477865246024845,1.1557403045113022
24.0,0.0,0.0,2.4780598748792304,0.6962867817297049,0.4535584281794203
25.0,0.0,6.777710937515401,8.261910562655043,2.7570136636269447,2.9985331330753415
26.0,10.81872774547766,23.95194781627629,54.985820910264586,10.836657196992205,15.839531071064759
27.0,7.8007723472692465,63.9932550475791,63.55659833059038,24.197514058428872,58.493266332327714
28.0,61.28549461642351,0.0,100.0,3.6554166260890035,19.843618474919218
29.0,100.00000000000001,49.034767295967846,2.256751628979968,31.029488753675356,100.00000000000001
30.0,0.0,2.4666639152281653,0.09624903903616935,8.279932328420244,5.024205204762667
31.0,0.0,2.4192606087609683,0.0,100.0,38.401246180819875
32.0,0.0,0.0,0.0,0.0,1.6367282256093378
33.0,0.0,1.1630827247191025,0.0,0.2981007523398164,0.0
34.0,0.0,0.0,0.0,0.0,0.32465428066131063
36.0,0.0,4.382208422486087,0.0,0.0,1.2956903900807961
37.0,0.0,19.32627869547604,0.0,0.0,8.006953181506752
38.0,0.0,30.51205941478232,0.0,0.0,13.918258617964222
39.0,0.0,100.0,0.0,0.0,59.08897116082927
40.0,0.0,27.271252343246775,0.0,0.0,8.019065642863682
41.0,5.013503062201336,98.93957712326726,0.0,1.1207914825702572,33.79662248511149
42.0,0.0,29.0781112279941,0.0,3.7985168174848156,8.629386651846431
43.0,0.0,3.79747718923108,0.0,8.979496388774107,21.374833330435674
44.0,88.81043856685731,0.0,0.0,0.5457981571591479,5.488025903017033
45.0,0.0,0.0,0.0,38.76142850508639,1.5355051388923993
46.0,0.0,0.0,0.0,15.94369334705647,0.0
47.0,0.0,0.0,0.0,0.52681618418637,0.0
48.0,0.0,0.8544613658539202,0.0,0.0,0.21521112177878984
49.0,0.0,3.3453078162950036,0.0,0.0,1.0440598373004868
50.0,0.0,4.09221748103524,0.0,0.0,3.002464997808464
51.0,0.0,3.2031775038198433,0.0,0.0,2.6220239065805346
52.0,0.0,1.566722812967465,0.0,0.0,0.913600279007654
53.0,0.0,2.298374487205769,0.0,0.0,5.663015556072603
54.0,0.0,0.7490633137827679,0.0,0.0,3.7445855221821414
55.0,0.0,3.660769802260972,0.0,0.0,3.4876758738065785
56.0,0.0,0.0,0.0,0.0,0.18017909342801944
57.0,0.0,0.0,0.0,0.0,76.50449543994537
58.0,0.0,0.0,0.0,0.0,1.2100373561324331
73.0,0.0,0.0,0.0,0.0,0.25193514054232363
