Mass,ethene,ethane,ethyne,1butanal
2.0,0.10001000100010002,0.20002000200020004,0.0,0.0
12.0,0.5000500050005001,0.4000400040004001,0.7000700070007001,0.10001000100010002
13.0,0.9000900090009001,1.0001000100010002,3.2003200320032006,0.3000300030003
14.0,2.1002100210021,3.0003000300030003,0.10001000100010002,1.6001600160016003
15.0,0.3000300030003,4.400440044004401,0.0,5.4005400540054005
16.0,0.0,0.10001000100010002,0.0,0.20002000200020004
17.0,0.0,0.0,0.0,0.3000300030003
18.0,0.0,0.0,0.0,1.5001500150015001
19.0,0.0,0.0,0.0,0.20002000200020004
20.0,0.0,0.0,0.0,0.10001000100010002
24.0,2.3002300230023005,0.5000500050005001,5.000500050005001,0.0
25.0,7.810781078107811,3.5003500350035006,19.121912191219124,0.0
26.0,52.955295529552956,23.222322232223224,100.0,6.310631063106311
27.0,62.36623662366237,33.233323332333235,2.2002200220022003,58.955895589558956
28.0,100.0,100.0,0.10001000100010002,14.911491149114912
29.0,2.3002300230023005,21.522152215221524,0.0,53.85538553855386
30.0,0.10001000100010002,26.222622262226224,0.0,1.2001200120012
31.0,0.0,0.5000500050005001,0.0,2.8002800280028004
36.0,0.0,0.0,0.0,0.3000300030003
37.0,0.0,0.0,0.0,2.7002700270027002
38.0,0.0,0.0,0.0,4.600460046004601
39.0,0.0,0.0,0.0,23.122312231223123
40.0,0.0,0.0,0.0,3.0003000300030003
41.0,0.0,0.0,0.0,60.55605560556056
42.0,0.0,0.0,0.0,11.911191119111912
43.0,0.0,0.0,0.0,78.67786778677868
44.0,0.0,0.0,0.0,100.0
45.0,0.0,0.0,0.0,3.5003500350035006
46.0,0.0,0.0,0.0,0.4000400040004001
48.0,0.0,0.0,0.0,0.10001000100010002
49.0,0.0,0.0,0.0,0.5000500050005001
50.0,0.0,0.0,0.0,1.2001200120012
51.0,0.0,0.0,0.0,0.8000800080008001
52.0,0.0,0.0,0.0,0.20002000200020004
53.0,0.0,0.0,0.0,2.5002500250025004
54.0,0.0,0.0,0.0,2.3002300230023005
55.0,0.0,0.0,0.0,3.0003000300030003
56.0,0.0,0.0,0.0,0.4000400040004001
57.0,0.0,0.0,0.0,25.822582258225825
58.0,0.0,0.0,0.0,1.1001100110011002
59.0,0.0,0.0,0.0,0.10001000100010002
60.0,0.0,0.0,0.0,1.0001000100010002
68.0,0.0,0.0,0.0,0.10001000100010002
69.0,0.0,0.0,0.0,0.6000600060006
70.0,0.0,0.0,0.0,0.20002000200020004
71.0,0.0,0.0,0.0,7.210721072107211
72.0,0.0,0.0,0.0,73.47734773477347
73.0,0.0,0.0,0.0,4.700470047004701
74.0,0.0,0.0,0.0,0.3000300030003
75.0,0.0,0.0,0.0,0.10001000100010002
