Source:,simulated
Molecules,GasMixture
Electron Numbers,1
Molecular Mass,1
1.200000000000000000e+01,2.820818482369992775e-01
1.300000000000000000e+01,6.848997932552134404e-01
1.400000000000000000e+01,1.099113615335760352e+00
1.500000000000000000e+01,1.242109230348560134e+00
1.600000000000000000e+01,2.489318631758843242e-02
2.400000000000000000e+01,8.818114798751286454e-01
2.500000000000000000e+01,4.703529999992023036e+00
2.600000000000000000e+01,3.336227734150801183e+01
2.700000000000000000e+01,3.307264216396838918e+01
2.800000000000000000e+01,1.000000000000000000e+02
2.900000000000000000e+01,2.117627848741589602e+01
3.000000000000000000e+01,2.895580549186139763e+01
