Mass,ethene,ethane,ethyne,1butanal
2.0,0.24487935592542595,0.4897587118508519,0.0,0.0
12.0,0.3053905554737645,0.2443124443790116,0.42754677766327026,0.0610781110947529
13.0,0.4673550341560957,0.5192833712845508,1.6617067881105625,0.1557850113853652
14.0,0.9335929829238793,1.3337042613198276,0.044456808710660926,0.7113089393705748
15.0,0.11599057752411049,1.7011951370202871,0.0,2.0878303954339885
16.0,0.0,0.034548488520583065,0.0,0.06909697704116613
17.0,0.0,0.0,0.0,0.09633509024489849
18.0,0.0,0.0,0.0,0.47029725786779125
19.0,0.0,0.0,0.0,0.0645456996984859
20.0,0.0,0.0,0.0,0.034870794722469976
24.0,1.4270356831095163,0.3102251485020688,3.1022514850206875,0.06204502970041375
25.0,5.703971200891986,2.5561970810655508,13.964139482849523,0.43820521389695155
26.0,45.37900804437544,19.899916275550478,85.69305031835883,5.407772252313674
27.0,62.38948642285387,33.245712537386694,2.201040252249495,58.97787403186715
28.0,116.05958633506886,116.05958633506886,0.1160711934544143,17.306214944053174
29.0,3.076787010075987,28.788024546450107,0.0,72.03694804025736
30.0,0.15315374862243575,40.15691288880266,0.0,1.837844983469229
31.0,0.0,0.8710619726460098,0.0,4.8779470468176545
36.0,0.0,0.0,0.0,0.9140379218717568
37.0,0.0,0.0,0.0,9.06680051518607
38.0,0.0,0.0,0.0,16.956234396794542
39.0,0.0,0.0,0.0,93.19635043361082
40.0,0.0,0.0,0.0,13.177837721182692
41.0,0.0,0.0,0.0,288.88547823193994
42.0,0.0,0.0,0.0,61.52964514944921
43.0,0.0,0.0,0.0,438.8364418889617
44.0,0.0,0.0,0.0,600.6350667173612
45.0,0.0,0.0,0.0,22.583722693588005
46.0,0.0,0.0,0.0,2.7659261958044765
48.0,0.0,0.0,0.0,0.7889809438652686
49.0,0.0,0.0,0.0,4.201240048225493
50.0,0.0,0.0,0.0,10.718319851681185
51.0,0.0,0.0,0.0,7.582535022802154
52.0,0.0,0.0,0.0,2.0082373605512194
53.0,0.0,0.0,0.0,26.55246820623635
54.0,0.0,0.0,0.0,25.800411500751448
55.0,0.0,0.0,0.0,35.49280682527959
56.0,0.0,0.0,0.0,4.9844333818480315
57.0,0.0,0.0,0.0,338.4489151876315
58.0,0.0,0.0,0.0,15.148899164808512
59.0,0.0,0.0,0.0,1.4452221726110939
60.0,0.0,0.0,0.0,15.149499394244627
68.0,0.0,0.0,0.0,2.1331889136775426
69.0,0.0,0.0,0.0,13.308125342564663
70.0,0.0,0.0,0.0,4.609062225451696
71.0,0.0,0.0,0.0,172.51508175929573
72.0,0.0,0.0,0.0,1823.9561501784124
73.0,0.0,0.0,0.0,120.98416888686792
74.0,0.0,0.0,0.0,8.002063372213504
75.0,0.0,0.0,0.0,2.7622559074454243
