ethene,ethane,ethyne,1butanal
0.0014268138710883016,0.0011670072029316162,0.004176732708588274,1.3020554950523901e-05
0.0021835273996027365,0.0024804607730564894,0.01623332336152184,3.321005291182614e-05
0.004361835669475803,0.006370704871366513,0.00043430150047233377,0.00015163594560914788
0.0005419190671112989,0.008126098461914723,0.0,0.00044508105938229775
0.0,0.00016502775802682102,0.0,1.4730006713597958e-05
0.0,0.0,0.0,2.0536593449189642e-05
0.006667247138798784,0.0014818524031907493,0.030306099647317224,0.0
0.026649498761005547,0.012210186072586905,0.13641660087833027,0.0
0.21201506390234395,0.09505592598990255,0.8371410682114422,0.0011528220914025216
0.29148964512051045,0.15880478825522024,0.021502107593312864,0.012572829053368904
0.5422414828734693,0.5543818022309662,0.0011339071548511343,0.003689317148577971
0.014375043057734169,0.1375117509436437,0.0,0.015356746035762465
0.0007155489553521408,0.19181751755563092,0.0,0.00039178948348095766
