Data Point,Time,ethyne,ethene,ethane,1butanal
25,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
25,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
26,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
26,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
26,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
26,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
27,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
27,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
27,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
27,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
28,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
28,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
28,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
28,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
29,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
29,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
29,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
29,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
30,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
30,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
30,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
30,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
31,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
31,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
31,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
31,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
32,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
32,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
32,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
32,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
33,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
33,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
33,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
33,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
34,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
34,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
34,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
34,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
35,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
35,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
35,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
35,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
36,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
36,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
36,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
36,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
37,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
37,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
37,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
37,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
38,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
38,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
38,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
38,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
39,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
39,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
39,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
39,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
40,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
40,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
40,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
40,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
41,nan,0.0,0.0,1.0,0.0,SolvedMolecules 
41,nan,0.0,0.0,1.0,1.0,SolvedMolecules 
41,nan,0.0,1.0,1.0,1.0,SolvedMolecules 
41,nan,1.0,1.0,1.0,1.0,SolvedMolecules 
