Mass,ethene,ethane,ethyne,1butanal
2.0,0.3537254219493195,0.707450843898639,0.0,0.0
12.0,0.07215567069479346,0.05772453655583477,0.10101793897271084,0.014431134138958692
13.0,0.08695684949099475,0.09661872165666084,0.30917990930131467,0.028985616496998243
14.0,0.1487701880822464,0.21252884011749484,0.007084294670583163,0.11334871472933061
15.0,0.01815593133553173,0.26628699292113206,0.0,0.32680676403957115
16.0,0.0,0.005862820576306703,0.0,0.011725641152613406
17.0,0.0,0.0,0.0,0.018185446280481122
18.0,0.0,0.0,0.0,0.09737339933531712
19.0,0.0,0.0,0.0,0.01426600905478067
20.0,0.0,0.0,0.0,0.00798505741876962
24.0,0.27595138741238123,0.059989432046169834,0.5998943204616983,0.011997886409233965
25.0,0.9764824973870062,0.4376041921708735,2.390569186944886,0.07501786151500689
26.0,6.799178450881463,2.981622731434704,12.839468428775023,0.8102514830040045
27.0,8.639121376269397,4.603560027797179,0.3047797791499787,8.16671271858693
28.0,17.345458672549977,17.345458672549977,0.017347193391889167,2.586466534730675
29.0,0.5779937175509084,5.408010783345892,0.0,13.532592039181054
30.0,0.03810113826130618,9.990118452114482,0.0,0.4572136591356742
31.0,0.0,0.28425327156832303,0.0,1.5918183207826089
36.0,0.0,0.0,0.0,0.810832474932399
37.0,0.0,0.0,0.0,9.330363471851808
38.0,0.0,0.0,0.0,20.01643944899179
39.0,0.0,0.0,0.0,124.99807603290478
40.0,0.0,0.0,0.0,19.91548103943673
41.0,0.0,0.0,0.0,488.3885189564453
42.0,0.0,0.0,0.0,115.62249790776889
43.0,0.0,0.0,0.0,911.4119465849863
44.0,0.0,0.0,0.0,1371.7451719615983
45.0,0.0,0.0,0.0,56.458128842848936
46.0,0.0,0.0,0.0,7.537821854516169
48.0,0.0,0.0,0.0,2.5273610635935007
49.0,0.0,0.0,0.0,14.519894745536751
50.0,0.0,0.0,0.0,39.85095015558131
51.0,0.0,0.0,0.0,30.247447819499747
52.0,0.0,0.0,0.0,8.573791101746414
53.0,0.0,0.0,0.0,121.0439854042342
54.0,0.0,0.0,0.0,125.31705760171624
55.0,0.0,0.0,0.0,183.31372724573754
56.0,0.0,0.0,0.0,27.3226321414195
57.0,0.0,0.0,0.0,1965.5449468975048
58.0,0.0,0.0,0.0,93.0530343397026
59.0,0.0,0.0,0.0,9.37479286976193
60.0,0.0,0.0,0.0,103.62365282175047
68.0,0.0,0.0,0.0,21.32217050552275
69.0,0.0,0.0,0.0,138.81651919401133
70.0,0.0,0.0,0.0,50.12634719758478
71.0,0.0,0.0,0.0,1954.4896695624136
72.0,0.0,0.0,0.0,21508.625476560363
73.0,0.0,0.0,0.0,1483.7900766380676
74.0,0.0,0.0,0.0,101.99031928613874
75.0,0.0,0.0,0.0,36.56067536404448
