Time,Crotyl Alcohol Concentration Relative to CO,(E) 2-Butenal (Crotonaldehyde Concentration Relative to CO,Ethanol Concentration Relative to CO,H2O Concentration Relative to CO,Acetaldehyde Concentration Relative to CO,Ethylene (Ethene) Concentration Relative to CO
176.8481,0.0004099027218596101,0.002368155438967759,8.665720721716729e-06,0.002920806420257952,0.0113861357151998,0.0033882180089795026
176.8945,0.00040878141860280855,0.002371309220640439,8.673847270206326e-06,0.0029229093371436732,0.011522339099035484,0.003387878398413468
176.8788,0.00040916082509271696,0.0023702421005486066,8.67109755444584e-06,0.002922197789835359,0.011476253040280856,0.0033879933097472267
176.7941,0.00041120768685674983,0.002364485089607315,8.656263100629699e-06,0.0029183590600892267,0.011227623156425276,0.003388613245414137
176.7974,0.00041112793899581227,0.002364709388734901,8.656841066362797e-06,0.002918508620988427,0.01123731003501712,0.003388589092076466
176.8505,0.0004098447234152917,0.0023683185656060038,8.666141060431708e-06,0.002920915191821007,0.01139318071781205,0.003388200442915738
176.9009,0.0004086267560846281,0.002371744225009085,8.674968173446269e-06,0.002923199394645152,0.01154112577266816,0.0033878315555767578
176.9665,0.00040704146527328845,0.002376203019787698,8.686457431655698e-06,0.002926172484035308,0.01173368917740143,0.0033873514165006246
176.9055,0.0004085155923996873,0.002372056884399048,8.67577382264998e-06,0.002923407873474339,0.0115546286943414,0.003387797887287888
176.8099,0.0004108258637649933,0.002365559006642409,8.659030330503313e-06,0.0029190751395460016,0.011274002756955608,0.0033884976021610453
176.8533,0.0004097770585635889,0.0023685088800172852,8.666631455599184e-06,0.002921042091977903,0.011401399887526208,0.0033881799491746853
176.9335,0.00040783894388265123,0.0023739600285118713,8.680677774324737e-06,0.0029246768750433084,0.0116368203914838,0.003387592949877335
176.88099999999997,0.00040910765985209313,0.0023703916333003274,8.671482864934567e-06,0.002922297497101493,0.01148271095934195,0.003387977207522119
176.8105,0.0004108113641539145,0.0023655997883019696,8.659135415182056e-06,0.002919102332436764,0.011275764007608671,0.0033884932106451023
176.8207,0.0004105648707655658,0.0023662930765144976,8.660921854720716e-06,0.002919564611579746,0.011305705268710466,0.00338841855487412
176.7429,0.0004124449870021851,0.0023610050546581545,8.647295874710146e-06,0.0029160386000773955,0.011077329767365142,0.0033889879881077033
176.7739,0.0004116958404297533,0.00236311210706878,8.652725249778623e-06,0.002917443566100184,0.01116832771777275,0.003388761093117455
176.8874,0.0004089529973339135,0.002370826637668973,8.672603768174516e-06,0.002922587554602971,0.011501497632974506,0.003387930364685421
176.8942,0.0004087886684083472,0.002371288829810659,8.673794727866957e-06,0.002922895740698291,0.011521458473709074,0.0033878805941714267
176.8326,0.0004102772951458248,0.002367101912762449,8.66300603418249e-06,0.002920103937246559,0.011340636739996092,0.0033883314564746303
176.8189,0.00041060836959880325,0.0023661707315358192,8.660606600684486e-06,0.002919483032907457,0.011300421516751362,0.0033884317294219407
176.8509,0.00040983505700790577,0.002368345753379043,8.666211116884201e-06,0.0029209333204148497,0.011394354884913941,0.003388197515238461
176.8443,0.0004099945527297784,0.002367897155123877,8.665055185418012e-06,0.0029206341986164498,0.01137498112773044,0.0033882458219138007
176.9281,0.0004079694403823654,0.0023735929935758274,8.679732012216035e-06,0.002924432139026436,0.011620969135606304,0.0033876324735208005
176.9268,0.00040800085620637104,0.002373504633313444,8.679504328745415e-06,0.002924373221096448,0.011617153092524712,0.003387641988472004
176.8664,0.0004094604837216903,0.002369399279584356,8.668925804418441e-06,0.0029216358034262428,0.011439853860117744,0.003388084067743332
176.91400000000004,0.00040831018124273024,0.002372634624576154,8.677262522265528e-06,0.00292379310609349,0.011579579745259591,0.003387735674145398
176.88299999999995,0.00040905932781516133,0.00237052757216553,8.671833147197053e-06,0.0029223881400707035,0.011488581794852213,0.003387962569135641
176.9234,0.0004080830206691542,0.002373273537242601,8.678908848899197e-06,0.0029242191280487865,0.011607172672157369,0.003387666873729003
176.8343,0.0004102362129144342,0.0023672174607978704,8.6633037741056e-06,0.0029201809837703877,0.0113456269501797,0.0033883190138461364
176.8869,0.0004089650803431466,0.002370792652952673,8.672516197608893e-06,0.0029225648938606664,0.011500029924096909,0.00338793402428204
176.8666,0.0004094556505179965,0.0023694128734708764,8.668960832644693e-06,0.0029216448677231647,0.011440440943668808,0.003388082603904686
176.8004,0.0004110554409404166,0.002364913297032702,8.657366489756517e-06,0.0029186445854422443,0.01124611628828235,0.0033885671344967665
176.889,0.0004089143317043683,0.002370935388761135,8.6728839939845e-06,0.0029226600689783396,0.011506194301382642,0.003387918653976246
177.0114,0.0004059564110441855,0.002379254847311475,8.694321268448432e-06,0.002928207418694121,0.01186548943460471,0.0033870227847244225
176.8458,0.00040995830370208055,0.00236799910927278,8.665317897114876e-06,0.002920702180843358,0.0113793842543631,0.0033882348431239417
