Source:,simulated
Molecules,GasMixture
Electron Numbers,1
ionizationEfficiencies,0.4428571428571429
ionizationEfficienciesSources,MadixAndKo
Molecular Mass,1
2.000000000000000000e+00,5.185584250550188123e-01
1.200000000000000000e+01,1.126033925301171079e+00
1.300000000000000000e+01,2.974437729513252471e+00
1.400000000000000000e+01,5.894939654124975448e+00
1.500000000000000000e+01,7.398332400129991271e+00
1.600000000000000000e+01,1.582085064613735770e-01
1.700000000000000000e+01,0.000000000000000000e+00
1.800000000000000000e+01,0.000000000000000000e+00
1.900000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+01,0.000000000000000000e+00
2.400000000000000000e+01,1.715944142568137876e+00
2.500000000000000000e+01,7.632795031591487422e+00
2.600000000000000000e+01,4.454045490568184107e+01
2.700000000000000000e+01,3.981939796526467745e+01
2.800000000000000000e+01,1.000000000000000000e+02
2.900000000000000000e+01,1.773995494936953321e+01
3.000000000000000000e+01,2.020633405517590120e+01
3.100000000000000000e+01,3.667172687759672201e-01
3.600000000000000000e+01,0.000000000000000000e+00
3.700000000000000000e+01,0.000000000000000000e+00
3.800000000000000000e+01,0.000000000000000000e+00
3.900000000000000000e+01,0.000000000000000000e+00
4.000000000000000000e+01,0.000000000000000000e+00
4.100000000000000000e+01,0.000000000000000000e+00
4.200000000000000000e+01,0.000000000000000000e+00
4.300000000000000000e+01,0.000000000000000000e+00
4.400000000000000000e+01,0.000000000000000000e+00
4.500000000000000000e+01,0.000000000000000000e+00
4.600000000000000000e+01,0.000000000000000000e+00
4.800000000000000000e+01,0.000000000000000000e+00
4.900000000000000000e+01,0.000000000000000000e+00
5.000000000000000000e+01,0.000000000000000000e+00
5.100000000000000000e+01,0.000000000000000000e+00
5.200000000000000000e+01,0.000000000000000000e+00
5.300000000000000000e+01,0.000000000000000000e+00
5.400000000000000000e+01,0.000000000000000000e+00
5.500000000000000000e+01,0.000000000000000000e+00
5.600000000000000000e+01,0.000000000000000000e+00
5.700000000000000000e+01,0.000000000000000000e+00
5.800000000000000000e+01,0.000000000000000000e+00
5.900000000000000000e+01,0.000000000000000000e+00
6.000000000000000000e+01,0.000000000000000000e+00
6.800000000000000000e+01,0.000000000000000000e+00
6.900000000000000000e+01,0.000000000000000000e+00
7.000000000000000000e+01,0.000000000000000000e+00
7.100000000000000000e+01,0.000000000000000000e+00
7.200000000000000000e+01,0.000000000000000000e+00
7.300000000000000000e+01,0.000000000000000000e+00
7.400000000000000000e+01,0.000000000000000000e+00
7.500000000000000000e+01,0.000000000000000000e+00
