Time,ethyne Concentration Relative to CO,ethene Concentration Relative to CO,ethane Concentration Relative to CO,1butanal Concentration Relative to CO
747.187,1.029577308678675e-07,2.500020631991401e-07,1.798241936491399e-07,1.7190279521258272e-07
751.547,1.029577308678675e-07,2.500020631991401e-07,1.798241936491399e-07,1.7190279521258272e-07
