Time,ethyne Concentration Relative to CO,ethene Concentration Relative to CO,ethane Concentration Relative to CO,1butanal Concentration Relative to CO
747.187,2.153212109222213e-07,8.165754880981888e-07,2.1893247239640924e-06,-2.0627256338716823e-06
751.547,2.153212109222213e-07,8.165754880981888e-07,2.1893247239640924e-06,-2.0627256338716823e-06
