Molecule	ethyne	ethene	ethane	1butanal
Ionization Efficiency	1	1.085714286	1.171428571	2.114285714
Method to Obtain Ionization Efficiency	MadixAndKo	MadixAndKo	MadixAndKo	MadixAndKo
