ethyne,ethene,ethane,1butanal
0.03705796791895212,0.0,0.0,0.0
0.1089983530938497,0.024355529362184273,0.0,0.0
0.0,0.0490639973684641,0.040612761466492855,0.0
0.0,0.0,0.057058508252337437,0.03152120755260672
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.05924180046214018,0.018172082652489215,0.0,0.0
0.19770963187241697,0.053149120081917266,0.022526830605739772,0.0
0.850503460958848,0.30699709495930827,0.13015215181938086,0.027033678501854497
0.016786761516867234,0.29719731489188594,0.17673899881420693,0.2320223421456244
0.0,0.4559317363932873,0.5196875212767985,0.053360183945123145
0.0,0.00881563134982949,0.10510198679548834,0.17319253492961578
0.0,0.0,0.09866055849810185,0.0
