Temp,m18.0
176848.09999999998,494934.212405773
176894.5,494934.212405773
176878.80000000002,494934.212405773
176794.09999999998,494934.212405773
176797.40000000002,494934.212405773
176850.5,494934.212405773
176900.9,494934.212405773
176966.5,494934.212405773
176905.5,494934.212405773
176809.9,494934.212405773
176853.3,494934.212405773
176933.5,494934.212405773
176881.0,494934.212405773
176810.5,494934.212405773
176820.69999999998,494934.212405773
176742.9,494934.212405773
176773.9,494934.212405773
176887.40000000002,494934.212405773
176894.2,494934.212405773
176832.6,494934.212405773
176818.90000000002,494934.212405773
176850.9,494934.212405773
176844.30000000002,494934.212405773
176928.1,494934.212405773
176926.8,494934.212405773
176866.4,494934.212405773
176914.0,494934.212405773
176883.0,494934.212405773
176923.4,494934.212405773
176834.30000000002,494934.212405773
176886.9,494934.212405773
176866.6,494934.212405773
176800.4,494934.212405773
176889.0,494934.212405773
177011.40000000002,494934.212405773
176845.8,494934.212405773
176923.1,494934.212405773
176984.80000000002,494934.212405773
177019.3,494934.212405773
177032.0,494934.212405773
176961.09999999998,494934.212405773
176849.4,494934.212405773
176918.5,494934.212405773
176873.4,494934.212405773
176964.59999999998,494934.212405773
176939.4,494934.212405773
176849.6,494934.212405773
176913.3,494934.212405773
176796.9,494934.212405773
176792.0,494934.212405773
176784.5,494934.212405773
176800.7,494934.212405773
176914.09999999998,494934.212405773
176814.2,494934.212405773
176799.7,494934.212405773
176783.9,494934.212405773
176838.8,494934.212405773
176910.1,494934.212405773
177027.19999999998,494934.212405773
177020.1,494934.212405773
176969.0,494934.212405773
177002.6,494934.212405773
176905.9,494934.212405773
176884.80000000002,494934.212405773
176885.5,494934.212405773
176960.19999999998,494934.212405773
177023.0,494934.212405773
176949.7,494934.212405773
176814.69999999998,494934.212405773
176854.19999999998,494934.212405773
176900.9,494934.212405773
176933.69999999998,494934.212405773
176869.1,494934.212405773
176935.30000000002,494934.212405773
176973.4,494934.212405773
176955.5,494934.212405773
176820.2,494934.212405773
176925.09999999998,494934.212405773
176874.59999999998,494934.212405773
177005.40000000002,494934.212405773
177002.3,494934.212405773
177016.3,494934.212405773
177124.69999999998,494934.212405773
177248.0,494934.212405773
177292.1,494934.212405773
177562.3,494934.212405773
177720.69999999998,494934.2124057729
177997.19999999998,494934.2124057729
178290.0,494934.2124057728
178654.30000000002,494934.2124057727
179059.2,494934.2124057727
179306.4,494934.2124057727
179710.1,494934.212405773
180177.4,494934.2124057731
180568.09999999998,494934.2124057731
180896.19999999998,494934.212405773
181384.0,494934.2124057729
181850.59999999998,494934.2124057729
182297.0,494934.2124057729
182843.8,494934.2124057728
183263.1,494934.2124057731
183624.30000000002,494934.2124057727
184093.3,494934.2124057727
184589.8,494934.2124057728
185035.69999999998,494934.212405773
185477.7,494934.212405773
185906.9,494934.2124057731
186491.4,494934.2124057727
187020.3,494934.212405773
187622.9,494934.2124057727
188159.5,494934.2124057727
188669.7,494934.2124057729
189357.1,494934.2124057728
189903.8,494934.2124057725
190565.30000000002,494934.2124057727
191223.5,494934.2124057727
191904.1,494934.2124057729
192460.0,494934.2124057731
193044.5,494934.2124057728
193761.1,494934.212405773
194481.69999999998,494934.2124057728
195153.8,494934.2124057731
195775.3,494934.2124057727
196417.0,494934.2124057727
197063.8,494934.2124057728
197651.3,494934.2124057726
198336.90000000002,494934.212405773
199170.6,494934.212405773
199765.9,494934.2124057728
