Experiment,,,,,,,,,,,,,,
Temp,m2.0,m18.0,m26.0,m27.0,m28.0,m29.0,m31.0,m39.0,m41.0,m44.0,m45.0,m56.0,m57.0,m70.0
176.8481,0.0,0.0,0.01831303723045022,0.0,0.0,-0.18598532015708044,0.0,0.0,0.0,0.0,-0.006593847652255711,0.011006886838005447,0.0,-0.021692539816748083
176.8945,0.0,0.0,0.01838642950372324,-1.3877787807814457e-17,0.0,-0.18480763706081502,0.0,0.0,0.0,0.0,-0.006495234440061351,0.010981052111462067,8.673617379884035e-19,-0.02171862926504453
176.8788,0.0,0.0,0.018361596342292577,0.0,0.0,-0.18520612034985257,0.0,0.0,0.0,0.0,-0.006528601410566744,0.01098979360298644,8.673617379884035e-19,-0.021709801585340773
176.7941,0.0,0.0,0.018227623808968238,0.0,0.0,-0.18735589962256533,0.0,0.0,0.0,0.0,-0.006708613028516405,0.011036953114586096,8.673617379884035e-19,-0.0216621770967479
176.7974,0.0,0.0,0.01823284351805901,0.0,0.0,-0.18727214198856204,0.0,0.0,0.0,0.0,-0.006701599588855909,0.011035115731017271,1.734723475976807e-18,-0.021664032596303485
176.8505,0.0,0.0,0.018316833382515996,0.0,0.0,-0.18592440551416942,0.0,0.0,0.0,0.0,-0.0065887469688663235,0.011005550559046295,0.0,-0.021693889270970313
176.9009,0.0,0.0,0.018396552575898714,0.0,0.0,-0.18464519801305287,0.0,0.0,0.0,1.1102230246251565e-16,-0.006481632617689689,0.01097748870090435,8.673617379884035e-19,-0.021722227809637153
176.9665,0.0,0.0,0.018500314065698867,0.0,0.0,-0.18298019777350522,0.0,0.0,0.0,0.0,-0.006342213938380501,0.010940963742687866,8.673617379884035e-19,-0.021759112891711428
176.9055,0.0,0.0,0.018403828534025057,0.0,0.0,-0.18452844494747908,0.0,0.0,0.0,0.0,-0.006471856307860109,0.01097492749956601,8.673617379884035e-19,-0.021724814263563083
176.8099,0.0,0.0,0.018252615143402054,0.0,0.0,-0.18695487822340356,0.0,0.0,0.0,0.0,-0.0066750335295363734,0.01102815594477175,8.673617379884035e-19,-0.021671061003710926
176.8533,0.0,0.0,0.01832126222659257,0.0,0.0,-0.18585333843077598,0.0,0.0,0.0,0.0,-0.006582796171578755,0.011003991566927314,1.734723475976807e-18,-0.021695463634229577
176.9335,0.0,0.0,0.018448116974793566,0.0,0.0,-0.1838177741135199,0.0,0.0,0.0,1.1102230246251565e-16,-0.006412348334984207,0.010959337578376038,8.673617379884035e-19,-0.021740557896155782
176.881,0.0,0.0,0.01836507614835274,0.0,0.0,-0.1851502819271821,0.0,0.0,0.0,0.0,-0.006523925784126548,0.010988568680607236,8.673617379884035e-19,-0.021711038585044497
176.8105,0.0,0.0,0.018253564181418408,0.0,0.0,-0.1869396495626765,0.0,0.0,0.0,0.0,-0.006673758358689066,0.011027821875031972,0.0,-0.021671398367266472
176.8207,0.0,0.0,0.01826969782769819,0.0,0.0,-0.18668076233030895,0.0,0.0,0.0,1.1102230246251565e-16,-0.006652080454284242,0.011022142689455628,8.673617379884035e-19,-0.02167713354771094
176.7429,0.0,0.0,0.018146639231563802,0.0,0.0,-0.1886554120046496,0.0,0.0,0.0,0.0,-0.00681742760748944,0.011065460399047752,8.673617379884035e-19,-0.02163338874000699
176.7739,0.0,0.0,0.018195672862414053,0.0,0.0,-0.18786859786705998,0.0,0.0,0.0,1.1102230246251565e-16,-0.006751543780376807,0.01104820012915885,8.673617379884035e-19,-0.021650819190377472
176.8874,0.0,0.0,0.018375199220528105,0.0,0.0,-0.18498784287942766,0.0,0.0,0.0,0.0,-0.006510323961754843,0.01098500527004952,8.673617379884035e-19,-0.021714637129637122
176.8942,0.0,0.0,0.01838595498471493,0.0,0.0,-0.18481525139117608,0.0,0.0,0.0,-1.1102230246251565e-16,-0.00649587202548502,0.010981219146331949,8.673617379884035e-19,-0.02171846058326677
176.8326,0.0,0.0,0.01828852041502471,0.0,0.0,-0.1863787272258769,0.0,0.0,0.0,0.0,-0.006626789565811923,0.011015516972949883,0.0,-0.021683824591562866
176.8189,0.0,0.0,0.018266850713648947,0.0,0.0,-0.18672644831248936,0.0,0.0,0.0,0.0,-0.006655905966826253,0.011023144898674975,8.673617379884035e-19,-0.02167612145704429
176.8509,0.0,0.0,0.018317466074526695,0.0,0.0,-0.18591425307368747,0.0,0.0,0.0,-1.1102230246251565e-16,-0.006587896854968068,0.011005327845886452,1.734723475976807e-18,-0.02169411418000734
176.8443,0.0,0.0,0.018307026656345787,0.0,0.0,-0.18608176834169007,0.0,0.0,0.0,0.0,-0.006601923734288827,0.011009002613024075,1.734723475976807e-18,-0.021690403180896226
176.9281,0.0,0.0,0.0184395756326452,0.0,0.0,-0.18395483206006913,0.0,0.0,0.0,-1.1102230246251565e-16,-0.006423824872610279,0.010962344206034105,0.0,-0.021737521624155754
176.9268,0.0,0.0,0.018437519383609283,0.0,0.0,-0.1839878274916472,0.0,0.0,0.0,0.0,-0.006426587742779507,0.010963068023803648,8.673617379884035e-19,-0.021736790669785382
176.8664,0.0,0.0,0.01834198288995191,0.0,0.0,-0.18552084600489077,0.0,0.0,0.0,0.0,-0.0065549549414117975,0.010996697710942001,1.734723475976807e-18,-0.02170282940519258
176.914,0.0,0.0,0.018417273239257903,0.0,-4.440892098500626e-16,-0.18431270558717153,0.0,0.0,0.0,0.0,-0.006453791387522775,0.010970194844919066,8.673617379884035e-19,-0.021729593580600132
176.883,0.0,0.0,0.018368239608407777,0.0,0.0,-0.1850995197247608,0.0,0.0,0.0,0.0,-0.006519675214635343,0.010987455114807941,8.673617379884035e-19,-0.021712163130229684
176.9234,0.0,0.0,0.018432141501515967,0.0,0.0,-0.18407412323577113,0.0,0.0,0.0,0.0,-0.0064338137109144385,0.010964961085662434,0.0,-0.021734878942970562
176.8343,0.0,0.0,0.018291209356071536,0.0,0.0,-0.18633557935381317,0.0,0.0,0.0,1.1102230246251565e-16,-0.00662317658174451,0.011014570442020484,8.673617379884035e-19,-0.021684780454970267
176.8869,0.0,0.0,0.018374408355514682,0.0,0.0,-0.1850005334300342,0.0,0.0,0.0,0.0,-0.0065113866041276395,0.010985283661499352,8.673617379884035e-19,-0.021714355993340803
176.8666,0.0,0.0,0.01834229923595762,0.0,0.0,-0.18551576978464546,0.0,0.0,0.0,0.0,-0.006554529884462666,0.010996586354362065,1.734723475976807e-18,-0.02170294185971112
176.8004,0.0,0.0,0.018237588708141073,0.0,0.0,-0.18719599868492356,0.0,0.0,0.0,0.0,-0.0066952237346193325,0.011033445382318355,8.673617379884035e-19,-0.021665719414081262
176.889,0.0,0.0,0.01837772998857251,0.0,0.0,-0.18494723311748446,0.0,0.0,0.0,0.0,-0.006506923506161973,0.010984114417410096,8.673617379884035e-19,-0.02171553676578525
177.0114,0.0,0.0,0.01857133374393055,0.0,0.0,-0.18184058632905842,0.0,0.0,0.0,0.0,-0.0062467886533044345,0.010915964190493952,8.673617379884035e-19,-0.02178435893111901
176.8458,0.0,0.0,0.018309399251387165,0.0,0.0,-0.18604369668987072,0.0,0.0,0.0,1.1102230246251565e-16,-0.006598735807170538,0.011008167438674624,0.0,-0.021691246589785124
176.9231,0.0,0.0,0.018431666982507894,0.0,0.0,-0.18408173756613277,0.0,0.0,0.0,0.0,-0.006434451296338097,0.010965128120532316,8.673617379884035e-19,-0.021734710261192777
176.9848,0.0,0.0,0.018529259725200614,0.0,0.0,-0.18251572362131513,0.0,0.0,0.0,0.0,-0.006303321227536537,0.01093077461562442,8.673617379884035e-19,-0.021769402480155943
177.0193,0.0,0.0,0.01858382941114714,0.0,0.0,-0.18164007562948148,0.0,0.0,0.0,0.0,-0.006229998903814475,0.0109115656055868,1.734723475976807e-18,-0.021788800884600494
177.032,0.0,0.0,0.018603917382496157,0.0,0.0,-0.18131773564407788,0.0,0.0,0.0,0.0,-0.006203007787545747,0.010904494462761328,8.673617379884035e-19,-0.02179594174652648
176.9611,0.0,0.0,0.018491772723550418,0.0,0.0,-0.18311725572005466,0.0,0.0,0.0,0.0,-0.006353690476006509,0.010943970370345934,0.0,-0.021756076619711413
176.8494,0.0,0.0,0.018315093479485484,0.0,0.0,-0.18595232472550244,0.0,0.0,0.0,1.1102230246251565e-16,-0.006591084782086476,0.011006163020235903,8.673617379884035e-19,-0.021693270771118458
176.9185,0.0,0.0,0.01842439102438148,0.0,0.0,-0.18419849063171442,0.0,0.0,0.0,-1.1102230246251565e-16,-0.0064442276061676875,0.010967689321870672,8.673617379884035e-19,-0.021732123807266815
176.8734,0.0,0.0,0.01835305500014424,0.0,0.0,-0.18534317829640143,0.0,0.0,0.0,0.0,-0.006540077948192826,0.010992800230644507,8.673617379884035e-19,-0.021706765313340766
176.9646,0.0,0.0,0.01849730877864636,0.0,0.0,-0.18302842186580603,0.0,0.0,0.0,0.0,-0.006346251979397071,0.010942021630197188,8.673617379884035e-19,-0.02175804457378551
176.9394,0.0,0.0,0.018457449181955216,0.0,0.0,-0.18366802561636814,0.0,0.0,0.0,1.1102230246251565e-16,-0.006399809154985338,0.010956052559268152,1.734723475976807e-18,-0.02174387530445209
176.8496,0.0,0.0,0.018315409825491236,0.0,0.0,-0.18594724850526104,0.0,0.0,0.0,1.1102230246251565e-16,-0.006590659725137312,0.011006051663655968,8.673617379884035e-19,-0.021693383225636992
176.9133,0.0,0.0,0.018416166028239103,0.0,0.0,-0.18433047235801872,0.0,0.0,0.0,0.0,-0.006455279086844658,0.010970584592948805,8.673617379884035e-19,-0.021729199989785328
176.7969,0.0,0.0,0.01823205265304513,0.0,0.0,-0.1872848325391687,0.0,0.0,0.0,1.1102230246251565e-16,-0.006702662231228755,0.011035394122467103,8.673617379884035e-19,-0.02166375146000717
176.792,0.0,0.0,0.018224302175910673,0.0,0.0,-0.18740919993511132,0.0,0.0,0.0,0.0,-0.006713076126482035,0.011038122358675339,8.673617379884035e-19,-0.021660996324303454
176.7845,0.0,0.0,0.018212439200705255,0.0,0.0,-0.1875995581942063,0.0,0.0,0.0,-1.1102230246251565e-16,-0.0067290157620738065,0.011042298230422649,1.734723475976807e-18,-0.021656779279858998
176.8007,0.0,0.0,0.0182380632271497,0.0,0.0,-0.1871883843545626,0.0,0.0,0.0,0.0,-0.006694586149195608,0.011033278347448446,8.673617379884035e-19,-0.021665888095859044
176.9141,0.0,0.0,0.018417431412261168,0.0,0.0,-0.18431016747704693,0.0,0.0,0.0,0.0,-0.006453578859048225,0.010970139166629091,8.673617379884035e-19,-0.021729649807859408
176.8142,0.0,0.0,0.01825941658251992,0.0,0.0,-0.1868457394881913,0.0,0.0,0.0,-1.1102230246251565e-16,-0.0066658948051304436,0.01102576177830329,8.673617379884035e-19,-0.021673478775859074
176.7997,0.0,0.0,0.018236481497122328,0.0,0.0,-0.18721376545577106,0.0,0.0,0.0,0.0,-0.006696711433941188,0.011033835130348094,1.734723475976807e-18,-0.021665325823266447
176.7839,0.0,0.0,0.018211490162688942,0.0,0.0,-0.18761478685492924,0.0,0.0,0.0,0.0,-0.006730290932921218,0.01104263230016244,0.0,-0.02165644191630343
176.8388,0.0,0.0,0.01829832714119499,0.0,0.0,-0.18622136439835618,0.0,0.0,0.0,0.0,-0.006613612800389497,0.011012064918972117,8.673617379884035e-19,-0.02168731068163693
176.9101,0.0,0.0,0.018411104492151012,0.0,0.0,-0.1844116918818976,0.0,0.0,0.0,0.0,-0.0064620799980304525,0.010972366298227655,0.0,-0.02172740071748903
177.0272,0.0,0.0,0.018596325078363965,0.0,0.0,-0.18143956492989666,0.0,0.0,0.0,0.0,-0.006213209154324472,0.010907167020679618,8.673617379884035e-19,-0.021793242838082004
177.0201,0.0,0.0,0.018585094795169316,0.0,0.0,-0.18161977074850957,0.0,0.0,0.0,-1.1102230246251565e-16,-0.006228298676017948,0.010911120179267073,8.673617379884035e-19,-0.02178925070267459
176.969,0.0,0.0,0.018504268390767242,0.0,-4.440892098500626e-16,-0.1829167450204734,0.0,0.0,0.0,0.0,-0.0063369007265165565,0.010939571785438768,8.673617379884035e-19,-0.02176051857319293
177.0026,0.0,0.0,0.018557414519688897,0.0,0.0,-0.18206394001973172,0.0,0.0,0.0,1.1102230246251565e-16,-0.006265491159065415,0.010920863880010805,8.673617379884035e-19,-0.021779410932304157
176.9059,0.0,0.0,0.018404461226035826,0.0,0.0,-0.1845182925069894,0.0,0.0,0.0,1.1102230246251565e-16,-0.006471006193961858,0.010974704786406154,0.0,-0.021725039172600127
176.8848,0.0,0.0,0.01837108672245713,0.0,0.0,-0.18505383374257972,0.0,0.0,0.0,0.0,-0.0065158497020932765,0.01098645290558858,8.673617379884035e-19,-0.021713175220896372
176.8855,0.0,0.0,0.018372193933475944,0.0,0.0,-0.18503606697172886,0.0,0.0,0.0,1.1102230246251565e-16,-0.0065143620027714195,0.010986063157558842,8.673617379884035e-19,-0.021713568811711187
176.9602,0.0,0.0,0.018490349166525866,0.0,0.0,-0.18314009871114664,0.0,0.0,0.0,0.0,-0.006355603232277544,0.01094447147495562,8.673617379884035e-19,-0.021755570574378075
177.023,0.0,0.0,0.01858968181224875,-1.3877787807814457e-17,0.0,-0.1815461655549918,0.0,0.0,0.0,1.1102230246251565e-16,-0.00622213535025587,0.010909505508858117,8.673617379884035e-19,-0.021790881293193107
176.9497,0.0,0.0,0.018473741001237595,-1.3877787807814457e-17,0.0,-0.18340660027387604,0.0,0.0,0.0,0.0,-0.006377918722105939,0.010950317695401848,8.673617379884035e-19,-0.02174966671215583
176.8147,0.0,0.0,0.01826020744753365,0.0,0.0,-0.18683304893758476,0.0,0.0,0.0,0.0,-0.006664832162757709,0.011025483386853474,0.0,-0.021673759912155373
176.8542,0.0,0.0,0.018322685783617412,0.0,0.0,-0.18583049543968366,0.0,0.0,0.0,0.0,-0.00658088341530773,0.011003490462317626,8.673617379884035e-19,-0.021695969679562922
176.9009,0.0,0.0,0.018396552575898714,0.0,0.0,-0.18464519801305287,0.0,0.0,0.0,1.1102230246251565e-16,-0.006481632617689689,0.01097748870090435,8.673617379884035e-19,-0.021722227809637153
176.9337,0.0,0.0,0.018448433320798513,0.0,0.0,-0.18381269789327911,0.0,0.0,0.0,1.1102230246251565e-16,-0.00641192327803509,0.010959226221796115,8.673617379884035e-19,-0.021740670350674285
176.8691,0.0,0.0,0.0183462535610264,0.0,0.0,-0.1854523170316177,0.0,0.0,0.0,0.0,-0.006549216672598723,0.010995194397112967,8.673617379884035e-19,-0.021704347541192597
176.9353,0.0,0.0,0.018450964088842448,0.0,0.0,-0.1837720881313395,0.0,0.0,0.0,0.0,-0.006408522822442132,0.010958335369156677,1.734723475976807e-18,-0.021741569986822456
176.9734,0.0,0.0,0.018511228002887972,0.0,0.0,-0.18280506817514086,0.0,0.0,0.0,1.1102230246251565e-16,-0.006327549473636035,0.010937121940680333,8.673617379884035e-19,-0.021762992572600347
176.9555,0.0,0.0,0.018482915035397077,0.0,0.0,-0.1832593898868447,0.0,0.0,0.0,0.0,-0.0063655920705817035,0.010947088354583924,8.673617379884035e-19,-0.021752927893192893
176.8202,0.0,0.0,0.018268906962684614,0.0,0.0,-0.18669345288091105,0.0,0.0,0.0,0.0,-0.006653143096657082,0.011022421080905445,8.673617379884035e-19,-0.02167685241141467
176.9251,0.0,0.0,0.01843483044256289,0.0,0.0,-0.1840309753637111,0.0,0.0,0.0,-1.1102230246251565e-16,-0.006430200726846972,0.010964014554733035,8.673617379884035e-19,-0.021735834806377956
176.8746,0.0,0.0,0.01835495307617728,-1.3877787807814457e-17,0.0,-0.18531272097494392,0.0,0.0,0.0,0.0,-0.006537527606498157,0.010992132091164938,0.0,-0.021707440040451876
177.0054,0.0,0.0,0.018561843363765942,0.0,0.0,-0.18199287293633112,0.0,0.0,0.0,0.0,-0.006259540361777838,0.010919304887891798,8.673617379884035e-19,-0.02178098529556341
177.0023,0.0,0.0,0.01855694000068092,0.0,0.0,-0.1820715543500931,0.0,0.0,0.0,0.0,-0.006266128744489159,0.0109210309148807,8.673617379884035e-19,-0.02177924225052637
177.0163,0.0,0.0,0.018579084221065245,1.3877787807814457e-17,0.0,-0.18171621893311565,0.0,0.0,0.0,0.0,-0.0062363747580511785,0.010913235954285715,8.673617379884035e-19,-0.021787114066822728
177.1247,0.0,0.0,0.018751349431603434,0.0,0.0,-0.17878294184564392,0.0,0.0,0.0,0.0,-0.006010443756556939,0.010860748093349777,8.673617379884035e-19,-0.02186176849180607
177.248,0.0,0.0,0.01895205060072555,0.0,0.0,-0.1743719841277293,0.0,0.0,0.0,1.1102230246251565e-16,-0.005779733694723569,0.01084750185669429,0.0,-0.0220276057280943
177.2921,0.0,0.0,0.01902383423055745,0.0,0.0,-0.17279434231621027,0.0,0.0,-3.469446951953614e-18,0.0,-0.005697216957279462,0.010842764151613131,0.0,-0.02208691977610982
177.5623,0.0,0.0,0.019463651391115222,0.0,0.0,-0.1631281559789813,0.0,0.0,0.0,0.0,-0.005191638216749197,0.010813736307782533,8.673617379884035e-19,-0.02245033600680794
177.7207,0.0,0.0,0.019300111178362,0.0,0.0,-0.16358363947269755,0.0,0.0,0.0,-1.1102230246251565e-16,-0.004939014871701557,0.010498210574366399,8.673617379884035e-19,-0.02210419060183418
177.9972,0.0,0.0,0.019551958168639957,0.0,0.0,-0.15657206460770973,0.0,0.0,0.0,1.1102230246251565e-16,-0.00444223532637417,0.01032808032631392,8.673617379884035e-19,-0.02221302313353875
178.29,0.0,0.0,0.02008406403746127,0.0,0.0,-0.14357591128703678,0.0,0.0,0.0,0.0,-0.004182501139036626,0.010598301553408535,8.673617379884035e-19,-0.02305546422057466
178.6543,0.0,0.0,0.019477082297278,0.0,0.0,-0.148737768962299,0.0,0.0,0.0,0.0,-0.0035845574405409496,0.010069205707686235,8.673617379884035e-19,-0.022396982241411414
179.0592,0.0,0.0,0.01957122675066751,0.0,0.0,-0.1362818590584178,0.0,0.0,0.0,0.0,-0.003311532123799152,0.010435751212046275,8.673617379884035e-19,-0.023100087309810363
179.3064,0.0,0.0,0.01967016714495906,0.0,0.0,-0.13089846887445825,0.0,0.0,0.0,0.0,-0.0029699728131717534,0.010383927776599947,8.673617379884035e-19,-0.023258210803834684
179.7101,0.0,0.0,0.019677424245408012,0.0,0.0,-0.13917864864618767,0.0,0.0,0.0,0.0,-0.002485854392302823,0.009887963194243628,8.673617379884035e-19,-0.022570092269589562
