Mass,2butenalE(crotonaldehyde),2buteneE,13butadiene,acetone,diethylether,ethanol
1.0,0.0,160.0,0.0,0.0,0.0,0.0
2.0,0.0,20.0,10.0,0.0,0.0,0.0
12.0,0.0,20.0,40.0,0.0,0.0,20.0
13.0,0.0,20.0,30.0,89.0,10.0,139.0
14.0,0.0,80.0,50.0,455.0,70.0,145.0
15.0,0.0,380.0,30.0,1201.0,319.0,664.0
16.0,0.0,10.0,10.0,85.0,0.0,0.0
17.0,0.0,0.0,0.0,0.0,0.0,70.0
18.0,0.0,0.0,0.0,0.0,40.0,55.0
19.0,0.0,0.0,10.0,0.0,99.0,279.0
24.0,0.0,10.0,20.0,0.0,0.0,61.0
25.0,500.0,90.0,250.0,129.0,10.0,246.0
26.0,1800.0,1131.0,1541.0,496.0,309.0,985.0
27.0,4900.0,3513.0,4944.0,707.0,1939.0,2241.0
28.0,0.0,3243.0,3413.0,121.0,509.0,345.0
29.0,3900.0,1982.0,80.0,362.0,4269.0,2985.0
30.0,200.0,70.0,0.0,0.0,129.0,812.0
31.0,200.0,0.0,0.0,45.0,9999.0,9999.0
32.0,0.0,0.0,0.0,0.0,109.0,0.0
33.0,100.0,0.0,0.0,0.0,20.0,31.0
36.0,400.0,10.0,90.0,70.0,0.0,0.0
37.0,1800.0,230.0,440.0,251.0,0.0,0.0
38.0,2900.0,420.0,581.0,281.0,0.0,0.0
39.0,9700.0,3593.0,9999.0,463.0,20.0,0.0
40.0,2700.0,641.0,350.0,128.0,0.0,0.0
41.0,9999.0,9999.0,20.0,278.0,609.0,137.0
42.0,3000.0,340.0,0.0,961.0,119.0,474.0
43.0,400.0,10.0,0.0,9999.0,829.0,1144.0
44.0,0.0,0.0,0.0,246.0,199.0,71.0
45.0,0.0,0.0,0.0,0.0,4459.0,5149.0
46.0,0.0,0.0,0.0,0.0,109.0,2163.0
47.0,0.0,0.0,0.0,0.0,30.0,73.0
48.0,100.0,20.0,150.0,0.0,0.0,0.0
49.0,400.0,150.0,811.0,0.0,0.0,0.0
50.0,500.0,621.0,2682.0,0.0,0.0,0.0
51.0,400.0,601.0,2532.0,0.0,0.0,0.0
52.0,200.0,200.0,1141.0,0.0,0.0,0.0
53.0,300.0,811.0,7086.0,0.0,0.0,0.0
54.0,100.0,360.0,9519.0,0.0,0.0,0.0
55.0,500.0,2202.0,430.0,0.0,0.0,0.0
56.0,0.0,4784.0,10.0,0.0,0.0,0.0
57.0,0.0,210.0,0.0,47.0,30.0,0.0
58.0,0.0,10.0,0.0,2484.0,20.0,0.0
59.0,0.0,0.0,0.0,93.0,6709.0,0.0
60.0,0.0,0.0,0.0,0.0,219.0,0.0
61.0,0.0,0.0,0.0,0.0,10.0,0.0
66.0,100.0,0.0,0.0,0.0,0.0,0.0
67.0,100.0,0.0,0.0,0.0,0.0,0.0
68.0,500.0,0.0,0.0,0.0,0.0,0.0
69.0,6500.0,0.0,0.0,0.0,0.0,0.0
70.0,8200.0,0.0,0.0,0.0,0.0,0.0
71.0,800.0,0.0,0.0,0.0,0.0,0.0
72.0,100.0,0.0,0.0,0.0,10.0,0.0
73.0,0.0,0.0,0.0,0.0,469.0,0.0
74.0,0.0,0.0,0.0,0.0,4399.0,0.0
75.0,0.0,0.0,0.0,0.0,209.0,0.0
