time-s,2butenalE(crotonaldehyde) Concentration Relative to CO,2buteneE Concentration Relative to CO,13butadiene Concentration Relative to CO,acetone Concentration Relative to CO,diethylether Concentration Relative to CO,ethanol Concentration Relative to CO
5618.562,2.9300134166685245e-09,4.783218353540293e-08,5.637417844402981e-08,3.777676657070044e-08,1.8774204359043954e-08,2.132292421917899e-08
5638.531,2.916665602999649e-09,5.056166274438043e-08,4.8957765066702556e-08,3.977895781818596e-08,1.9674141211570788e-08,2.0787719988328922e-08
5658.5,3.000202887271757e-09,4.719052400482879e-08,5.1383326833511875e-08,3.822584121300571e-08,1.8052469416831255e-08,2.2301222378521468e-08
