Mass,2butenalE(crotonaldehyde),2buteneE,13butadiene,acetone,diethylether,ethanol
1.0,0.0,1.7599985852582303,0.0,0.0,0.0,0.0
2.0,0.0,0.216556866997661,0.0,0.0,0.0,0.0
12.0,0.0,0.19042937384702158,0.32591332125413724,0.0,0.0,0.20885599113567418
13.0,0.0,0.18864683137651142,0.24214692086071907,0.8176462782595086,0.10345048178700907,1.437961696839426
14.0,0.0,0.7480609424200444,0.4000876764035756,4.143948296019862,0.7178902109606707,1.4870582941328179
15.0,0.0,3.5251571441178893,0.23815204588488165,10.851601348261555,3.2456266928738327,6.755787222784405
16.0,0.0,0.0,0.0,0.7625108182146144,0.0,0.0
17.0,0.0,0.0,0.0,0.0,0.0,0.7025773358199121
18.0,0.0,0.0,0.0,0.0,0.39921823653779004,0.5489250752394613
19.0,0.0,0.0,0.0,0.0,0.983304668157084,2.7711313375336
24.0,0.0,0.0,0.15317732268564155,0.0,0.0,0.5987825495995631
25.0,3.2435753191315375,0.8056357391391883,1.9150247890358294,1.1247133836700351,0.0,2.4151511723619183
26.0,11.688595923154564,10.134321477585495,11.816065437954315,4.328821586756387,3.036711607780877,9.68013247140506
27.0,31.87767379209393,31.536313448564957,37.97951485044819,6.181702862798788,19.090775966332863,22.064171707350155
28.0,0.0,29.19061565313544,26.28880053560463,1.0608100235402522,5.024896104939349,3.405872605508989
29.0,25.529489609529044,17.90290087874568,0.6183693011219974,3.184815409658092,42.29206686181629,29.57175441145974
30.0,1.3148829860025426,0.6350345901421764,0.0,0.0,1.283518256699536,8.079200189457545
31.0,1.3216552861306679,0.0,0.0,0.39966754741513233,100.0,100.0
32.0,0.0,0.0,0.0,0.0,1.0965971066035258,0.0
33.0,0.6692408074225291,0.0,0.0,0.0,0.20256650738509632,0.3139780864468993
36.0,2.7438508581239867,0.0,0.7289931178349214,0.6453520891676657,0.0,0.0
37.0,12.467350674957583,2.19822295055284,3.5986097742691356,2.3365418366598183,0.0,0.0
38.0,20.29551736323432,4.055959882630696,4.801298085388052,2.64305754423381,0.0,0.0
39.0,68.63789978968737,35.082594272749304,83.54668626368273,4.403230425091982,0.21417929154483648,0.0
40.0,19.329730841104546,6.33231198259488,2.9587651552557817,1.2316014234769956,0.0,0.0
41.0,72.46991774067845,100.0,0.17116367567724367,2.707971977568251,6.679957857012903,1.5027162995250705
42.0,22.02522920428682,3.4444535346165512,0.0,9.482453889396387,1.3222128489214098,5.266629330997884
43.0,2.9764956551596127,0.10268038615037851,0.0,100.0,9.33587486915544,12.883282087230183
44.0,0.0,0.0,0.0,2.4949500890376153,2.272672680274059,0.810853066831448
45.0,0.0,0.0,0.0,0.0,51.66910343092463,59.66454666199393
46.0,0.0,0.0,0.0,0.0,1.282168055433065,25.44338994405247
47.0,0.0,0.0,0.0,0.0,0.35840094365441455,0.8721089628924087
48.0,0.8020762698369639,0.22135426528482074,1.4206507834506867,0.0,0.0,0.0
49.0,3.261230421101784,1.6875435298399715,7.807693500364159,0.0,0.0,0.0
50.0,4.145429477284756,7.104497384985532,26.256613358936917,0.0,0.0,0.0
51.0,3.3736445615259196,6.99448972997446,25.21642079679839,0.0,0.0,0.0
52.0,1.7165666800980637,2.368661002542478,11.563697856069256,0.0,0.0,0.0
53.0,2.6211074833788213,9.777473813924432,73.10467188734155,0.0,0.0,0.0
54.0,0.8896686036132055,4.41949856279436,100.0,0.0,0.0,0.0
55.0,4.530908337549136,27.534349341983383,4.601126102783313,0.0,0.0,0.0
56.0,0.0,60.94650531195329,0.1090173984750177,0.0,0.0,0.0
57.0,0.0,2.726348044284394,0.0,0.594313777710951,0.4271655841042778,0.0
58.0,0.0,0.13233112683934098,0.0,32.016182031766924,0.2902719060173337,0.0
59.0,0.0,0.0,0.0,1.2220480302461407,99.27049298652143,0.0
60.0,0.0,0.0,0.0,0.0,3.304252995328869,0.0
61.0,0.0,0.0,0.0,0.0,0.15387488643102099,0.0
66.0,1.1239243834122057,0.0,0.0,0.0,0.0,0.0
67.0,1.1470009042251073,0.0,0.0,0.0,0.0,0.0
68.0,5.853121898905159,0.0,0.0,0.0,0.0,0.0
69.0,77.6616626551987,0.0,0.0,0.0,0.0,0.0
70.0,100.0,0.0,0.0,0.0,0.0,0.0
71.0,9.958212279255568,0.0,0.0,0.0,0.0,0.0
72.0,1.2705878294349637,0.0,0.0,0.0,0.1922914264044225,0.0
73.0,0.0,0.0,0.0,0.0,9.205555338842714,0.0
74.0,0.0,0.0,0.0,0.0,88.1349966852261,0.0
75.0,0.0,0.0,0.0,0.0,4.274195659022009,0.0
