Temp,Ethanol Concentration Relative to CO
176.8481,0.11168558287698173
176.8945,0.1117903194977413
176.8788,0.11175488059804468
176.7941,0.1115636911200633
176.7974,0.11157114006076391
176.8505,0.11169100028840036
176.9009,0.1118047659281909
176.9665,0.11195284184029922
176.9055,0.11181514930007654
176.8099,0.11159935574523577
176.8533,0.11169732060172205
176.9335,0.11187835243329353
176.881,0.11175984655851169
176.8105,0.11160071009809039
176.8207,0.11162373409661944
176.7429,0.11144811967646659
176.7739,0.11151809457395677
176.8874,0.11177429298896133
176.8942,0.11178964232131404
176.8326,0.11165059542823667
176.8189,0.11161967103805553
176.8509,0.11169190319030341
176.8443,0.11167700530890234
176.9281,0.11186616325760168
176.9268,0.11186322882641653
176.8664,0.11172689063904853
176.914,0.11183433596551738
176.883,0.11176436106802722
176.9234,0.11185555416024022
176.8343,0.11165443276132482
176.8869,0.11177316436158242
176.8666,0.11172734209000011
176.8004,0.11157791182503711
176.889,0.11177790459657372
177.0114,0.11205419257892214
176.8458,0.11168039119103895
176.9231,0.11185487698381295
176.9848,0.11199414960236603
177.0193,0.11207202489150832
177.032,0.1121006920269318
176.9611,0.11194065266460732
176.8494,0.11168851730816683
176.9185,0.11184449361192723
176.8734,0.11174269142235281
176.9646,0.11194855305625949
176.9394,0.11189167023636425
176.8496,0.11168896875911839
176.9133,0.11183275588718697
176.7969,0.111570011433385
176.792,0.11155895088507202
176.7845,0.11154202147438896
176.8007,0.11157858900146445
176.9141,0.11183456169099316
176.8142,0.11160906194069406
176.7997,0.1115763317467067
176.7839,0.11154066712153428
176.8388,0.11166459040773467
176.9101,0.11182553267196216
177.0272,0.11208985720409456
177.0201,0.11207383069531458
176.969,0.11195848497719356
177.0026,0.11203432873705396
176.9059,0.11181605220197967
176.8848,0.11176842412659115
176.8855,0.11177000420492154
176.9602,0.11193862113532535
177.023,0.11208037673411204
176.9497,0.11191491996036905
176.8147,0.1116101905680729
176.8542,0.11169935213100401
176.9009,0.1118047659281909
176.9337,0.11187880388424502
176.8691,0.11173298522689451
176.9353,0.11188241549185746
176.9734,0.11196841689812768
176.9555,0.111928012037964
176.8202,0.11162260546924058
176.9251,0.11185939149332837
176.8746,0.11174540012806207
177.0054,0.1120406490503757
177.0023,0.11203365156062658
177.0163,0.11206525312723511
177.1247,0.11230784583465303
177.248,0.11257142070017054
177.2921,0.11266569200243597
177.5623,0.11324329077504612
177.7207,0.11339490324693381
177.9972,0.11389800260854463
178.29,0.11456632281934714
178.6543,0.11506153742365972
179.0592,0.11664266986043934
179.3064,0.11720101919174915
179.7101,0.11757513717686889
180.1774,0.12011764414921196
180.5681,0.12112937948405633
180.8962,0.11791901970091594
181.384,0.12059591999390562
181.8506,0.11885108249166491
182.297,0.11945287262530807
182.8438,0.12310372301867854
183.2631,0.12130692107197577
183.6243,0.12491342175796119
184.0933,0.12639042391516697
184.5898,0.1238750055348783
185.0357,0.1259357200899993
185.4777,0.12151002181570833
185.9069,0.12220497371665459
186.4914,0.12422613173473002
187.0203,0.12147301716539043
187.6229,0.12213115920354009
188.1595,0.12191909101821712
188.6697,0.12095676037012398
189.3571,0.12323895495545036
189.9038,0.12267171627806214
190.5653,0.1239254538119551
191.2235,0.12351269580120124
191.9041,0.12440440882392682
192.46,0.12508920520856517
193.0445,0.12365644626906952
193.7611,0.12232978172505789
194.4817,0.12420288507020205
195.1538,0.12352915510911476
195.7753,0.12364085498932673
196.417,0.12400020902712247
197.0638,0.12673221151506697
197.6513,0.12576185206408577
198.3369,0.13051217672740711
199.1706,0.12490540368038026
199.7659,0.1324202949633672
