Time,Acetylene Concentration(bar),Ethylene Concentration(bar),Ethane Concentration(bar)
6133.27,-0.0,0.39772045040255544,0.018540433925049313
6136.42,-0.0,0.39592531785647217,0.01831794871794872
6139.52,-0.0,0.3978433696068521,0.018466272189349115
6142.59,-0.0,0.3985072613508922,0.018392110453648917
6145.69,-0.0,0.39880239548204216,0.018540433925049313
6148.78,-0.0,0.4001301789701223,0.018392110453648917
6151.89,-0.0,0.39496629198128225,0.018243786982248524
6154.98,-0.0,0.3960975327833253,0.018540433925049313
6158.09,-0.0,0.398335046424039,0.018169625246548325
6161.19,-0.0,0.3971301821402556,0.018243786982248524
6164.28,-0.0,0.3958023986521755,0.018392110453648917
6167.37,-0.0,0.3952614261124321,0.018392110453648917
6170.48,-0.0,0.39459753436839207,0.018466272189349115
6173.58,-0.0,0.3975482354757022,0.01831794871794872
6176.69,-0.0,0.3940565618286487,0.018466272189349115
6179.78,-0.0,0.3942531045146856,0.01802130177514793
6182.87,-0.0,0.40108920484531224,0.018466272189349115
6186.03,-0.0,0.39501558770383866,0.018540433925049313
6189.2,-0.0,0.39700726293595884,0.01831794871794872
6192.3,-0.0,0.3952614261124321,0.018392110453648917
6195.39,-0.0,0.3958023986521755,0.018392110453648917
6198.5,-0.0,0.39730239706710885,0.018466272189349115
