Mass,Acetaldehyde
16.97056274847714,0.0
18.384776310850235,0.0
19.79898987322333,0.0
21.213203435596427,0.0
22.627416997969522,0.0
24.041630560342615,0.0
25.45584412271571,0.0
26.870057685088806,0.0
29.698484809834994,0.0
33.94112549695428,0.0
35.35533905932738,0.0
36.76955262170047,0.0
38.18376618407357,0.0
39.59797974644666,0.0
41.012193308819754,0.0
43.840620433565945,0.0
56.568542494923804,0.0
57.982756057296896,0.0
59.39696961966999,0.0
60.81118318204309,0.0
62.22539674441618,0.0
63.63961030678928,0.0
