Mass,Acetaldehyde
20.784609690826525,0.0
22.516660498395403,0.0
24.24871130596428,0.0
25.98076211353316,0.0
27.71281292110204,0.0
29.444863728670914,0.0
31.176914536239792,0.0
32.90896534380867,0.0
36.373066958946424,0.0
41.56921938165305,0.0
43.30127018922193,0.0
45.033320996790806,0.0
46.76537180435969,0.0
48.49742261192856,0.0
50.22947341949744,0.0
53.693575034635195,0.0
69.2820323027551,0.0
71.01408311032397,0.0
72.74613391789285,0.0
74.47818472546173,0.0
76.2102355330306,0.0
77.94228634059948,0.0
